您要办理的那个地址哪里报一下 十七号省军区第六感觉吗稍等一下七 
唉你好我想问一下就是他先现在你们有没有那种比如说公司内部我同意比如说这一些元功能费手机号对这种服务啊 那么我来办号码的话是零公司的营业执照来办还是怎么样子 
很高兴为您服务呃喂你好 就是换一个套餐然后你们这边有什么样的那个套餐 
呃你好我这手机具体听到移动的广告就是说五十元六个g我我问一下这是什么套餐 噢是这样子啊那那那我知道了他在帮您办回复噢就是没有了 
嗯 喂你好唉你看那个问一下那个关于我这边的话宽带的 
国际漫游不一样 你好就国际国际那个流量的话去日本的一天有什么套餐啊 
唉你帮我看一下我这个手机号码的套餐下个月套餐是什么 二十八元钱这个套餐里面送多少那个话费和呃流量买 
您好很高兴为您服务有没有日本当天的流量无限使用的这个 对 
服务喂你好你好我想问一下就是我刚才打电话是吧有一个港澳通港澳台已经开通了对吗就打电话已经开通了但是呢就是你们帮我发一条短消息嘛有一个什么像流量一样的包月的恢复的 那我看到有一个那个港澳台三地流量吧优惠行吗话呃话费续办理六十八元三天 
请噢 点五十八的有吗 
零 哎我想问一下那个短信的 
唉先生你好我有个手机号是幺三五零幺七九八七九八的 加入到最最简单的那种就是流量套餐有吗 
你好 哎我想知道一下我现在这个手机套餐啊现在有些什么内容 
喂你好就是我今天收到一个幺零你们幺零零八六这个短见是他给我的那个我是说呃可以免费升级成九g的流量 对他短期这么写的他说那个我知道您的意思好 
喂你好我想问一下这个移动移动是不是有那个五十块钱那个基地 我不要换套餐上面写的不换套餐没有那上面怎么那个一下啊vip上面怎么显示 
恩唉你好是这样的呃我这边是能听到王丽酒店的然后现在给你用这个号码是我们工作手机上面所需要的呃之前刚刚跟你们同事沟通过他说因为现在对那个群发短信的监测就是如果我们这边有事情要相信发短信的话可能会有一部分手机收不到那个短信的就是想问一下你们这边能不能有什么操作然后让我在群那谁国经报警之类的那个可以保证其他那些号码都能收到的 需要 
唉你好我要查那个宽带的 呃因为上次我在那个上海那个奉贤区安 
呃那个集团短号是怎么怎么个是怎么个怎么个就是内容呢 互拨的业务 
唉小姐你好我想我是我是机主我想咨询一下恩就是我看到有一个什么较慢他说这个免费这个流量翻一番这个东西好像是吧 那我我原来不是四g套餐的可不可以也烦得很嗯嗯 
喂你好你能帮我那个卡的套餐嗯现在最便宜的移动套餐是多少 等于是不送分钟数是吧 
哎你好我想请问一下写字楼内一定要办企业宽带吗还是可以办个人宽带 但我我可以不办公司的 
呃我请问一下现在那个流量套餐有什么套餐吗 嗯我流量没有那么 
您好我想咨询一下有没有那种就是话费多一点流量多一点那种套餐我看那个我网上查那个有什么啊补啊这个现在没有了吗 没有的 
有多少分钟通话 五百分钟通话多少多少两百七两百两百块三十八 
啊我要现在有什么套餐办起来啊 
不是交我想问一下全无手机上到河南地区是不是返给我点了一个就是什么时间用的 一百不是不是不是那种不是网上登录端移动 
唉你好一个月就是六十块钱的那个流量可以用是多少是六g吗 我呃我这个是不符合这个条件吗 
先生你好我想问一下就是我这个手机嗯打一个外地手机我老家的手机就打了一个号码呃 在通话中一直是这样生效 
喂你好我现在套餐是多少钱然后里面包含多少东西 帮我改过了对吧 
哎你好我想我想问一下现在有一个推出一个新的全国什么流量包嗯十二个g的六十块钱 那么什么时候可以办 
你好你们就之前给我推荐的短信推荐过呃国际漫游三块钱还是三十元封顶的是什么需要办需要说什么吗如果办理 好的嗯 
哎你好我想问一下就是我二十八号如果出国的话有没有短期的呃手机漫游的套餐嗯有的国际漫游 也有长期有效的都有呃短信好了就算一天的那请问到哪个国家使用麻烦一下对吧 
喂你好呃那个帮我呃帮我看看加油包 当月的 
你好我问一下那个来电显示那个费用是什么意思啊 这个这个就是来电显示啊 
唉你好那个我这个流量没有了我想弄一个那个之前办那我那个叫什么呢 外地 
喂你好就是现在这个上海就是本地流量费不要用了比较便宜哪一种啊 本地或者河南号能办吗 
啊你好我想问一下就是那个是不是有那个什么业务没流量分享包吗恩 呃不是本机 
喂 唉你好我想问一下咱这边是这个流量一个月都有哪些套餐恩 
唉先生是这样的啊我想问一下因为我用的号码是有三个是上海的号码这这边 有三十上海的号码有没有什么套餐是家庭套餐嘛就是一个有流量多一点的话费提供想多一点的那种号码 
喂你好我想麻烦问一下你这个你们这边那个套餐有没有钱一点的 呃 
您好 唉你好因为我这个月的那个套餐外的流量用的挺多的我想咨询一下有没有那种购买就一次性买多少加油包可以把这个流量给我 
你好我想问一下你们移动宽带是什么号哦哦 对我想问一下这个意思吧因为我再考虑这个 
哎你好我想问一下这个嗯境外那个那个流量是怎么有什么业务啊 呃日本 
唉你好我的那个套餐到期了你看看有什么能适合我的我重新要不要改的 来电反映 
呃呃我下周去香港的话是在那个十二呃所有的套餐 什么什么套餐 
喂你好我问一下我这个套餐五十八块钱套餐是什么样的套餐 呃如果我要换个六十八的套餐是这样的 
喂唉小姐你好 哦我现在我这个嗯嗯就是我这个套餐有有什么优惠吗我现在我那个套餐这样 
您好很高兴为您服务哦就是 什么东西呃什么呃流量套餐想套餐什么意思流量套餐它是 
唉有什么套餐是流量多一点的 好像有有一种是无限量的是吧什么套餐 
唉你好先生那个我是那个刚刚有客服人员帮我转过来了就是因为早上有一个客服向我推荐你们现在有个八八套餐啊 啊对然后他两个g流量是那个全国通用流量是吗 
唉你好你这里宽带了解吗点的宽带不好什么意思啊 
哪里的卡上海的您说上海卡要打哪里电话 现在都是全球通套餐它不分的如果您要通话时间长一点的九十八块钱五百分钟通话一百兆流量的 
你好我想问一下我这个手机怎么开通那个什么通话现在还有还还是那还还知道了 就是 
你好我有个问题想咨询一下就是我想办一下中国移动的宽带你们这边有没有 
哎你好我想问一下现在是不是有那个六十元六g的那个流量是半年可以用的有些 目前没有 
您好很高兴服务喂小姐你好我想问呃不是电话账单账单吗 把那个电话费那你们我想问一下就是公司报销你们有这个发票吗 
喂你好 下午的时候再问微信上面嘛嗯那个移动就是上海的移动官网吗他说我今天和明天可以办理了什么四g套餐啊什么新套餐还是怎么 
您好那个我想看一下那个你们你们这边的一个移动的一个套餐宽带套餐 噢不是我想新办一个 
喂 呃我想问一下现在有什么新的套餐推荐一下好了啊 
刚刚想咨询的就是关于那个互联网那个卡我这有吗手机 是的类型上网卡那种就全球物流网的那个款 
呃这个流量用完了对 他不是开通多少兆的流量吗 
你好我刚才订了一个什么三百兆三十块钱的一个流量包这个因为我是因为这个月流量不够了吗我想加了但是我也不知道到底是什么情况你把那条短信就是幺零零八六发一条短信说我也差不多到就是我下个月以后就那个 噢就是上呃这个月那我就花钱购买了一百多兆然后才会有那个二十块钱三百的三百兆是吧就每个月都会有这样的是吧 
唉你好我问一下现在有没有那种套餐九十八块钱五个g的流量的 噢好的 
哎你唉你好我想问一下就说我这边这个因为现在这个流量已经超了嘛然后现在一毛一条用了好几个我想问一下我们这边现在有什么优惠的这个这个好像我什么号二十元什么二十g还是四四六二十元 两个g是一个g国内通用流量我现在在外地出差这个我一个g的国内流量早就用完了现在本地流量用不到这个这个有没有加过加那个通用流量的呀 
哎你好我想咨询一下我我现在我现在是套餐是多少钱一个月呢 噢好我这个套餐现在可以改吗 
唉你好呃我想咨询一下就是说现在是不是有那个的套餐两斤不知道 噢那我可以干嘛 
唉你好是这样我这个月的流量我买了一个十块钱的加油包对吧然后还有一个八百四十积分兑换的一个一百兆的流量是这样吧 兑换那我现在他怎么说我都用光了我记得还有一百吗身份证 
高兴服务呃帮我看一下有什么流量给我推荐去啊 噢 
喂你好请问一下我这个申请那个十块的一个月是是什么样的 不是不用付费的吗 
对啊唉你好先生那个我想问一下我现在你们现在不是出来一个什么一百块钱是五g流量吗 什么新组合为什么办不了它说什么流量套餐包什么我订购了这东西因为一个 
喂你好我想呃我看幺零零八六发了个信息说十块钱的什么一g流量是早晚高峰的时候用的是什么意思啊就是早晚高峰流量呀那个是十块钱一个g的就再早上是七点到十点 那我现在身份证的申请可以办吗 
唉你好 一个流量至尊包的一个业务人员嗯嗯那么我想问一下这个流量至尊包 
按照我想就是那个到泰国的那有没有什么就是那个wifi的什么包啊嗯嗯 呃 
小姐你好 嗯嗯您查一下我幺三七零幺九九四二四现在因为呃我要查一下她现在我上次套餐已经用完了买了那个线据流量的包括什么 
噢你好我想问一下有一个什么交通卡是移动交通海那个业务吗我当时叫我去换卡的然后其他话的时候现在发就每个月要收我三块钱的那个什么月租费啊 但是他当时没有跟我说 
唉小姐我想问一下就是呃我我套餐里面有一个本地的三g视频流量这个是什么意思啊 什么意思我怎么怎么怎么退啊 
您好很高兴为您服务你好那个我想问一下以前我开通那个功能啊就是说我本机或者说那个没有信号的时候啊还会发一个短消息过来有打过电话的 已经有了已经有了那为什么有的坐飞机像坐飞机之后没有收到任何短信里面说打过电话打不出来 
唉你好 我问一下我这个上个月我是八十八元的套餐我想那个八十八元的套餐不够用了我又想用了那个九十八元的这个九十八元那像我们那个公司的话呢转换什么都有包含 
您好很高兴为您服务那没有比如我现在就要要我那个以前是五十八元套餐每月返二十的到期了现在啊我嗯现在就要改一个八十八元套餐签约一年的这个什么茜呢 行手机密码我的不知道了 
您好很高兴为您服务你好我想问一下嗯那个那个流量自选套餐 噢 
您好很高兴服务哎你好我想问一下就是嗯我不是在北邮去吗要用那个叫什么你们的那个 嗯 
哎你好我想请问一下移动有个四g上网套餐我五十八档里面包含什么东西呢 这个网套餐五十八档的 
喂你好我在掌上营业厅看到你现在有个小模卡是吧 那个小模卡是需要重新去办一张卡是吧 
哎我也我这里有装宽带我怎么算的 我是家里啊 
唉喂你好刚才我打了电话换个套餐嘛是吧 唉我问一下那个我刚才没有问忘掉了那个两个那个流量是不是 
哦 行呃那个我手机是不是一个那个彩铃服务什么服务彩铃 
哎你好我想问一下我现在这个数据套餐里面就行的 呃是多少的现在 
嗯嗯你好我问一下嗯有没有什么语音包优惠一点的 越多越好吧 
什么在什么地方没用差不多嘛他才才能时间差的开机要别的知道吧的话都是业务一喂 唉唉你好那个我想咨询一下那个八十八的那个月租套餐你给我说一下多少g的流量 
唉你好不好意思啊我前面打过电话来的现在还是就是我我老公那个手机他不是说开通了那个就是你们那个你们我想咨询一下你们那个七天一百六十八块钱的是无线的就是全天都可以用的把这流量 应该是二十四小时都可以用的对吧 
哎我想问一下你们现在这个宽带业务是什么样的我现在之前我收到短信说推荐这种宽带是吧 对对对 
唉喂唉我那个想问一下就是好像我我我我这个手机以前到外地去我会开通一个全国漫游包现在我看了一下那个你们那个手机客户端的那个我那个是营业厅吗好像这个漫游包现在取消了对吧 是什么时候取消的我上次还办过来好像二月份来办过一次 
你好我想问一下现在有什么那个 二十块是多少兆 
你好 麻烦你给我把我这个说的那个卡好 
唉先生你好你给我介绍一下我现在套餐吗 我现在我现在就是说这个手机的套餐是说什么 
唉喂你好我想问一下前面有一个幺零零八六的客服给我打电话说我这个什么就我现在是一百一十八的一个套餐嘛它是两g的流量他跟我说他要付过道什么三g的流量对用花钱就直接扣了 那这什么意思啊 
什么 喂你好那个我想咨询一下现在手机四g的就是流量不够用啊你们也没有那个套餐是流量多一点通话好了 
唉你好我今天收到一条幺零零八六给我发说现在那个流量是升级是吧 噢那你帮我开通的我想这些是不是真的因为现在收到短信 
您好很高兴为您服务喂你好像我好的跟我说一下我现在 你说我现在我他就说我上个月能提升唉对的您想要换的话需要个月是一百块钱三个 
喂你好先生噢那个二十四块那个流量那个那个活动是什么情况呀二十四块钱五个月的是吧三十的每个月 免费的吗我领了一百二十块钱免费的吗 
唉你好 呃就是我想问一下噢咱们这边那个宽带的话二十兆是什么 
您好很高兴服务唉你好我刚刚接到一个零二幺幺零零八六的电话打过来我想问一下是正规的吗 零二幺代表是上海噢噢噢因为他说因为根据我的套餐使用情况他说下个月开始每个月多给我一个g的那个流量这个是真实的噢噢还有一个什么到二零一八年六月之前会每个月还有多多送的三个g也是就是是有这个活动的对吧噢那都说这三个就是夜间流量吗 
喂你好我想咨询一下我现在这个卡的我现在这个卡的就拨打电话这个卡的这个套餐具体是一个怎样的套餐 什么什么我 
您好很高兴为您服务喂你好就是我问一下我这个卡的话打电话是多少钱一分钟呀 就你们网上全国接听免费一一毛九一分钟有没有那种打电话就是说优惠套餐呀 
喂你好 那个到月底的话我想那个办个呃两三百兆的流量你看有什么合适的帮我看一下 
那要转这个宽带服务 我这边这个宽带就使用什么可以帮您我想问一下就是说你这个有个那个两年的那个宽带服务一千两百八的是吧 
啊喂你好唉唉我想问一下我现在因为我刚收到一个短信吗就是幺零零八六发过来了说我现在办的套餐是三十八我记得我以前套餐十八呀你现在能帮我查一下吗我现在之前的套餐是是是什么样的吗 什么意思是减免你说他套餐三十八的他实际扣不是扣三十八是吧 
嗯喂你好 嗯我想请问一下我这个卡现在是属于那个全球通的卡对吧 
唉你好唉我请咨询一下就是早晚呃这个高峰那个流量包嗯嗯 用不完以后可以延长到下个月 
是这样他幺零零八六给我发个短信也是建议我那个那个换一个手机套餐他这个语音的华十八块的五十元的那个那个漫游的那个流量你能不能给我介绍一下这个 对对对 
喂你好唉是这样的我我就是我现在流量不我我现在的流量每个月的流量不够用然后我要升级一下就是增加流量的我现在这个什么可以选择就在不改变我现有的那个就是其他的东西的时候问一下 嗯不我我可以升级套餐的就升级套餐 
喂你好 请问一下帮我这个号号码换个套餐买 
哦担心呃喂你好我我想问一下就是这个呃宋海掌上营业厅的那个六位数手机密码是什么东西啊 保 
唉你好请问一下这个我就想问比如说我这个手机号从流量比较多的话应该办的套餐 啊我就是想换一个套餐因为我打电话比较少那个流量比较多 
哎你好我想我想问一下我这个那你们是是有那个跟别人日日就像咱们有那种套餐 呃是有几个人 
唉你好我问一下就是上个月的那个发票什么时候能那个发给我就是那个发票 噢对就上个月吗 
唉你好就是我上个礼拜有是申请过办那个宽带业务后来你们幺零零八六打电话给我的说到时候安装啊就我想问一下现在是什么状况就是一直没消息 没有啊 
喂你好我收到一个短信说我的那个流量可以增加 噢您是说什么我要增加费用吗 
唉你好 那我想咨询一下就是我们有哎有个朋友想办上海的卡在外地用在外地用的话呃那个流量是上海的流量还是全国流量 
喂你好 唉你好我是幺零零八六吗 
呃我想咨询一下就是有一百零八块钱的套餐吗 幺五八分钟五百兆流量呢 
喂哎移动有没有什么电话这这这个这个宽带啊 唉对宽带我现在宽带它就是和那个有线通话写通这些那有线通也是和因为我就用这个有线通啊哎呀兆或者不得了对他有没有像中国电信的呀呃嗯嗯中国电信不是有一个什么固话那固话我是不用了就是呃固话手机还有上网什么乱七八糟的还有就是ip地址查不到的扣在一起这些东西了 
呃你你好我我那个看到我在营业厅看到有一款就是说呃早上七点到晚上到四点下午下午几点到几点的那个就是说和那个 晚上也可以用是吧 
喂你好 那个我想问一下你们现在有什么套餐呀 
哎你好我想问一下这个移动就是有个任我享的流量套餐包吗是六十元六g吗然后半年包的这个 按键这个它就是六十元是每个月都扣十元还是就是总共就一次性扣六十元六g流量 
唉你好小姐一下 啊我想问个问题就是说你们经常发那个短信给我就是说这个流量就是说一百三十八元什么什么套餐那个这个通用的流量是怎么算法的 
喂你好我想问一下我这跟你说说对呀个包我想问咨询一下这个怎么什么情况 就是这个对吧哦四g套餐资费升级了费用无限流量 
唉你好我问一下我想帮我查一下我这个套餐现在什么套餐 他那个现在返还二十是不是啊 
唉你好我这个流量不够用的 嗯 
你好我我想问一下我现在我这个号码额呃是什么套餐呢是因为只有十八块钱的一百分钟通话然后两个g的流量 这个要取消吗等等一下等一下哎呦十块钱的是什么东西啊什么东西十块呃这是我我唉那那个就块钱还是一百块钱我也没听懂啊然后还 
唉你好 我想问一下就是刚才我收到一个短信嗯嗯说什么那个就是给我说我那个六百分钟的高清通话那个 
哎你好我想问一下申请哪一个套餐那个就是流量套餐划算一点三十八的还是五十八的那个送多少分钟打打电话的 它这个没有三十八块的没有那个吗没有送那个打电话嘛所以十分钟没有东方吗时间 
哎你好我想问一下我这个套餐不属于飞享或者是嗯或者姓名是说 我这个月为什么不会咨询我当时是欠了一百五十八呀 
唉你好我这个月五十八块钱月租的是全球通的吧 那个电子发票这个要办那个五十这个月到下个月可以吧 
哎你好我想请问一下你呃现在那个中国 有没有办理那个无线固话的 
你好我就是要去巴厘岛旅游开通那个国际漫游哪一种比较好一点嗯嗯 密码不知道我交钱来报一下 
唉你好那个我有个问题咨询一下噢就是我们这面是做相关的一些互联网的一些应用嘛可能有大数据的需求我不知道移动这上面有没有相关的一些到数据的一些业务 呃比如说我们要有一个尝试的热烈的这种数据 
唉小弟弟我问一下嗯那天我手机上来了个信息他说现在有一个六十八块的那个套餐是吗有吗 幺三九 
唉先生你好就是说我想问问看就是说呃在日本换那个四g流量费计算 然后没有用满 
唉你好 你能帮我看一下我这个卡这个五十八五十八块钱的包什么你能帮我看一下 
喂你好我想请问一下现在我这本机号码呃这样的业务里面然后有一个短号短信呃个人这个这个什么业务啊也 嗯这种这种什么意思啊就他有什么用啊 
喂你好等一下我想我想咨询一下就是我们家现在网络不是停掉了嘛是吧然后就是再加手机上网不是要产生流量吗感觉费用很大就是说想申请一下哪一种就是套餐流量划算一点的 三月一号是吧有什么有什么就是说稍微优惠一点的那个套餐吗 
哎你好我想问一下我收到一个短信什么上海移动呃什么欢迎你参加怎么有一个叫有有二一为什么那个 啊这个什么东西呢 
你好我想了解宽带业务然后你们的转接转接了两次全都掉了 在那边我就好了是吗 
唉你好就是说我这个你们这个手机那个流量还可以加什么流量吗 唉对 
你好我那个你给我找一下那个国际国际那个漫游朱国寿 啊 
哎你好我想问一下我现在这个套餐是怎么样子 呃我要改一个流量多一点的 
你好我我想叠加流量现在那个最优惠的什么说什么流量谢谢啊 唉我我上个月那个二十元一点五g啊现在有吗 
您好很高兴为您服务 喂嗯嗯唉我我请问一下我请问一下我现在那个这个手机啊现在嗯嗯嗯 
喂你好啊我想请问一下你现在就是现在在中国移动有什么是最优惠的就是那个流量最多的套餐吗 呃我现在就是手机流量不够现在比如说一个月有个两三g的或者两g以上的有没有 
呃 唉你好唉我刚刚开通了那个国际漫游啊啊我看到呃我有我有一个那个什么一天三十块钱的这个 
唉喂你好我想咨询一下就是你们这边有一个什么职业短号互拨 哎我想咨询下这个怎么办理 
唉你好我就问一下我现在开始八块钱套餐里面包括什么 超出打电话 
唉你好我想问一下现在我这个手机的那个是八块钱每个月包对吧呃我想要办一个套餐有流量的因为我有微信是要用我出门的我想用现在有什么套餐办起来比较划算一点的 唉你能帮我看一下机主的吗剩余流量不多嘛唉对 
你你给我开通一个幺三四七二五 七幺九 
喂你好唉我想那个改个套餐 嗯嗯现在三十八元还有什么选择吗三十八的话 
唉你好我想咨询一下那个移动宽带的事情 已经因为你们经常会办那种那种那种短信过来推呃就是广告的吗没有我我记得好像有有过是不是两百多块钱一年的那种 
哎我想帮我看看那个啥加流量怎么加的 不是我这我这个手机现在我就我这个号码现在加流量怎么加比较划算一点到月底 
唉我想问问像你们现在那个按那个叫做流量有什么套有什么有什么套餐吗先生 对我现在这个流量已经用完了就是我过去我是买的是三十八块的就是饮食的我们买的电话呢再送五百就我用完了今天我现在还有什么套餐可以用 
不客气 不是不是那个什么钱 
您好很高兴为您服务我请问一下你们这地方它上面也没有什么最实惠的 就是通话时间多一点流量稍微少一点的 
喂你好帮我更改一下套餐吗 那我想问一下你们现在是优惠套餐是什么套餐 
噢是这样的呃刚才我问到第二个问题的时候他说那个你们集团客服的 我的套餐给我因为我我一直在网上就是充钱我也没没注意我就是账单来了现在你们没有账单寄过来的对吧现在有都有账单寄过来现在都是那个呃用的app的然后我就在咱们充钱了然后今天我就看那个账单诶电子账单啊我看那个里面有两张一档是那个什么融合什么手机互拨功能包月费十块对吧 
喂 现在有没有什么流量就是就是有优惠一点的流量包呢 
哎你好我想问一下我们打国际长途有没有那个ip号啊 好再见问题打到美国或者是中东再见 
喂您好我想问一下就是我这个手机号的话呃我有我有每个月五百分钟好像因为不够用我想 你帮我推荐一下别的套餐 
噢呃我想问一下就是我这个套餐你们移动是不是有推出那个什么无限流量套餐啊 一个月要两百三十八 
你好我想请问一下就是如果手机在美国开通了那个流呃三天的流量对吧 那么他比如说比如说他在那里因为上次不是说就是呃到那里第一次使用网络以后就再开通了那么第一次使用网络是相当于我们国内的时间是十月六号早上八点的话那么三天到期知道六号七号八号到到九号早上八点还是说到八号晚上十二点 
哎你好我想问一下就是说现在有个套餐就是七十块钱六个g啊噢就是有个老用户的 呃什么意思啊 
唉你好我就是说我这个是套餐三百分钟通话一个g的流量是吧 对我现在感觉到流量过剩了你们通话分钟我想把它转换一下好嘛 
唉先生你好你帮我下个月改一个就是两百二十分钟通话在一百兆的流量这个套自选套餐 唉我知道 
你好我想问一下我这个流量没了还没几天的你们这里有没有好的怎么好的有是吧 唉反正没几天了人还没多少流量 
喂你好我想问一下有没有什么移动有什么套餐就可以绑定那个 是赠送多少兆呢 
我想问一下有没有什么优有没有什么优惠的上网套餐 知道了 
唉你好先生六块了喂你好有个事情我问一下我这个手机的那个本地流量是怎么回事啊 对我刚查一下还剩几兆了我那个不是每个月都有五百兆的吗 
唉你好唉我请问一下就是我这边有看到什么预付就是说就是四g飞享套餐五十八元的这个这个是什么预定这个是什么套餐可以更改吗 签约呃那个是怎么情况你给我讲一下因为我不 
喂你好我想问一下我这个什么套餐 接打电话是呃那个 
啊我我想问一下那个我没老老人办那个套餐有什么套餐 八块钱包括包含什么东西呢 
你好我想生效我这个月发套餐现在收到短信说流量已经用完了我记得好像应该不是两家 呃我知道我们 
喂你好唉我想我想问一下啊就是我那个免费的那个宽带呀就是马上就要到期了那稍后有咨询过你们移动呃他说先打一个那个九六八七七对吧然后再打把那个什么余额拿到那个营业厅去是这个意思吧 不是以及我是就暂时先取消但是我想移机得话是不是我要换一个号码才能用啊我因为这个已经到期了已经一年啦 
我想问那个信息那我就那个中国移动互联网支付宝上面充的那个流量 那个咱们没错 
对啊我觉得他 你好我想问一下什么叫多方通话多方通话 
你好我咨询一下 就是那个现在不是有个叫什么业务就小卡了是吧 
喂你好 我想问一下现在有什么流量告诉我因为就是买的流量包呗 
噢你们那个这个搞的流量套餐呢有多少钱这个月都打就是 那那就是要是如果套餐不变套餐的话呢 
我想就是我今天早上收到一个短信说那个我已经免费升级什么高清通话这是干嘛的 
哎你好我想问一下就是现在那个移动那个五十元套餐嗯上网套餐升级了是吧噢我帮您看一下 他这边的话 
很高兴为您服务你好不是我想咨询一下啊就是说我嗯今天是二十二十六然后没几天了然后就下个月还有一个月就是说我这个期间一直在上海然后就出国了就是想问问买哪 流量比较多 
喂你好哎我想一下那个加这个流量好吧那个流量怎么加 还有好友了 
唉喂你好 呃我想请问一下我现在就是说因为我现在就是以前用的是那个八十八元的就是说是呃套餐还有百兆的那个流量但是我现在就是说这个流量用的比较多我想就是如果升级的话是怎么办呢 
唉喂你好那个噢就是你能不能给我那个就是你们那个五八套餐是是现在都是那个什么多少分钟话费啊 五百兆流量啊还有没有高一点的有没有六八的 
你好我想下载一点流量月底月底还有几天了 他有没有划算一点的呀营业一月四号还有几天漫游的只有这种好像以前我下载有好几种呢 
不是五个呢 喂你好 
您好很高兴为您服务哎你好我想咨询一下就是家庭那个就是办理网络 对的宽带 
哎你好我想问一下我这个手机的套餐情况是什么样的套餐我忘了 好像是每个月赠送话费十元是吧哦 
你好我的那个我的流量用的有点多然后我刚刚看了一个短信是流量加油的是呃五十块钱七g的流量有这个 那么我能不能加流量包里优惠一点的流量呢现在 
唉你好就是问一下我这移动那个微信客户停了我看到一个可以升级为四g飞享套餐其他有个五十元版的什么什么套餐流量两个g 那就我现在已经我说了我升到七十 
哎你好我想问一下有没有含电话费还流量的套餐呃那要开通 嗯一g左右的流量 
您好 哎你好我想请问一下就是我没有天津的一个呃有一个这样的一个新的 
再见您好很高兴为您服务喂嗯你好我想问一下就是这个号码的最后那个最低的套餐是多少的 我前前两天他不是说有十五的吗 
喂你好 那你就是说这个套餐有时候什么大的变动啊 
唉你好你帮我给他关啊怎么改呃就是帮我看看这个办理的套餐不是有三个这个流量呢 七十八七十八 
唉你好 唉就是你们那个发个短信给我叫我怎么换一个什么九十八块钱一个月的那个套餐 
五十八是两百二十分钟通话噢五十八是一百分钟通话流量五百兆八十八是两百二十分钟七百兆 对 
你好那个我想问一下就是我在里面月租费这个六十元的因为我吧上六十元六六g或者十二点五十七点 噢是这样 
喂你好能能听见吧 就是我想问一下就是说流量包是什么东西我有一个订炫那个是怎么用的 
唉你好我咨询一下一百五十八元档的那个套餐是里面是怎么资费的包括通话时间流量有多少一百五十八的 没听懂 
呃我想请问一下你们这边是有一个小毛卡 嗯 
您好很高兴为您服务唉你好嗯你好唉帮我查一下我这个这个号的套餐好像有改动改了一个啥我呃昨天有收到信息但是是客户明白你就跟我讲一下吧 噢二然后村里面东西就这么多是吧 
我想问一下它上面这个我那个送的那个五块钱的那个是wifi流量它是什么 呃就是我现在这个月是六十八元一个月套餐的吗 
您好很高兴为您服务 那个流量套餐 
你好我想问一下现在还有什么加油包可以办了 噢还有一个三十块钱是五百兆是吧 
您好我刚收到除了一个短信有个那个四g什么升级了 你帮我办理一下子 
您好请讲喂你好就是说这样就是说像我们这边的去因为就是说移动信号不好吗是前段时间我也是呃沟通过现得到回复呢就是我们因为我们这边基站的差不到的问题那就是说工作人员呢跟我就是说提供一个方案就是说他说苹果六以上的手机可以打幺零零八六开通一个什么功能啊这种 哎对他就是说给我开通这个就是pos被这个功能是吧恩对然后这个开通了以后呢可以然后还要设置是吧 
嗯哼 喂你好就是我之前这个套餐是一百二十八的用现在到时间了 
嗯想让你帮我看一下我刚才他打电话给我说给我换个什么呃这个套餐的那个呃那么我换的这个套餐他说有什么七十块的三g的那个什么流量这个七十块就是包括在一百五十八块里面的咯对是的噢那就是换句话说我这个手机的费用就是我自己这个手机的费用就是一百五十八块加上一个八块的那个家庭那个就是打电话不收钱的唉对对就这个不超出的话就这两个费用没有这个费用对吧还有一个三块钱来电提醒二二上海一下就就这点没有别的了是吧然后就是复机复机的号码产生的费用是我付是吧 嗯嗯嗯嗯好的我就想问一下 
唉小姐是这样的我那个前两天就办那个套餐呀他说是要怎么可以选择什么的我不太懂我想问问看什么东西可以选择但是五十八元套餐他说可以选择什么流量什么电话费啊什么东西是因为您是自选套餐组合套餐自由搭配的 我稍后帮您直接发给您您看一下好吧这个网上不能弄是吧光电话没法弄的 
但我我问一下就是移动的那个流量卡包包年的有没有啊 就是只能上网就是我来来那个无线路由器无线模块发送结束四g的那种 
啊喂你好嗯嗯呃我这边的话是接到一条短信是说我这边什么语音区mp的增值调查 对呃大概是什么样的功能 
唉你好啊我想问一下现在有没有活动什么换套餐流量多一点的 从比如说要估计一个月五六个g吧 
喂你好我想这个把这个月的套餐全换过一个那个合约吗 就我也不知道你们现在有什么套餐呢 
喂 唉你好是这样的呃我现在就是手机呃呃全国流量没有我想买一下的话怎么买怎么买 
唉喂你好你好我我想我想问一下就是说呃现在是有应该我三十八块钱送二十分钟三百六三百兆流量的这个套餐嗯现在是不是有那种就是说送五百流量套餐 就是说免就是二十分钟点区的学校 
唉你好我有个问题想问你一下就说我下周我我就就下周一的话我去美国然后我想问一下咱们这个去美国的话我的这个为什么那个叫什么就是那个五十的那个流量噢对那个流量有没有什么套餐之类的 呃然后在那边的话就说是是四g还是三十七号楼 
您好很高兴为您服务 这个是评定就是全国关闭就是我想咨询个问题我看那个网上有一个什么五块十二七十元多少 
喂你好就是说我想问一下那个五十块钱七个g流量什么 噢已经是这个活动 
唉你好 那个现在不是有个半年的那个流量包吗 
呃你好那个我想咨询一下现在有那个 嗯那个块钱是七个g的那种是流量包还是什么的 
哎就是我想我是这个本机机主我想咨询一下我就早上收到个短信啊你们移动短信咱们高清电话什么意思啊 对对对对 
喂你好我想 我我问一下那个我的套餐是吧 
唉你好就是我上次来电就是说呃你们不是有个十块钱一百兆吗 呃朝阳路四百五十五号 
