诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   嗯
您好 很 高兴 服务 哎 你好 我 想 问 一下 就是说 呃 那个 除了 流量 加油 包 现在 有 什么 就是 这种 流量 的 套餐 是 现在 申请 马上 就 能 用 的 吗   七十块 钱 两个 g 对 吧   噢 这 是 当月 生效 的 刚才 交 五十块 钱 的 流量 卡 那个 不能 买 了 吗
喂 你好   哎 就是 我 我 上 这个 月 打个 电话 过来 我 想 把 我 这个 流量 套餐 加 然后 呢 呃 你们 你们 你们 那个 叫 什么 也 是 人工 服务 他 跟 我 说 是 他 要 先要 把 我 那个 套餐 降巷 了 然后 再 找 一下 我 是 这个 月 再 打电话 改 套餐 是不是 这样 的 我 也 不 知道   才 村 就是 我 现在 是 两个 g 的 流量 是 吧 你 帮 我 转到 这个 套餐 有 这些 都 要 改加 到 什么 他 说 是 十二号 一 呃 我 是 一百五十 八 的 是 吧 套餐 他 说 是 一百五十 八 的 套餐 情况 下先 降到 一百二十 然后 人 就是 改 到 一百七十 八 但是 呢 这 这 三十块 钱 的 是 交 了 好像 多少 g 的 流量 好像 好像 两点 五 g 我 也 不 知道 这个 什么 套餐
唉 你好 就是 我们 去年 的 时候 办 了 一个 那个 就是 消费 满 多少 一个月 和 那个 送 宽带 业务 嘛 我 现在 这个 宽带 业务 要 取消 是 在 咱们 这边 就 可以 直接 打电话 取消 对 吧   对 的 对 的 因为 我要 搬 搬走   什么 是
你好 是 这样 的 我 原来 这个 手机号码 是 挂 在 我 不仅 一下 然后 我 想 现在 把 它 转到 我 的 名下 呃 我 想 如果 办理 这样 的 服务 的话 需要 去 营业厅 怎么弄 呢   对 对 对   呃 是 在 什么
噢 喂 再见   对   吧 再见 哦
喂 您好 嗯 就是 我 想 问 一下 现在 就是 那个 办 那个 宽带 是 怎么办 呀   送 两百块 话费 我 看 上面 显示 的 说 什么 有 套餐 个人 套餐 超过 呃 超过 是 多少 然后 是   还有 一个 是 那 我 的 这个 套餐 你 看 现在 符合 吗
噢 好 的 结构 哎 你好 我想充 一下 流量 怎么 充 的   加 二十块 钱加 两个 g 流量 可以 啊 你 给 我充 一下   呃 啊 是 本地 的 还是 全国 的
您好 我 收到 短信 说 我们 我家 这个 宽带 没 了 块 呃 我 这 怎么弄   我 如果 是续 的话 我 原来 是 就是 是   不要 交钱 的
唉 唉 先生 是 这样 的 噢 呃 我 买 了 一个 手机号 已经 这个 手机号 我用 了 十年 了 用 了 十年 了 以后 呢 不是 你们 来 短信 一直 叫 我 去 办 我 是 三 g 的 三 g 的 三 g 的 卡 我 平时 就 打 打电话 因为 你们 短信 来要 办四 g 办四 g 的 那 我 就 去 办 了 今天 拿 着 身份证 去 办 那个 窗口 的 营业员 说 呢 我 这个 名字 不是 我 的 名字 是 别人 的 名字 现在 怎么 处理 法 比较 好 一点 的   我 这个 电话号码 啊 我 这个 电话号码 一直 实名制 是 吗 哎 没有 实名制 的 没有 实名制 原先 我办 的 这个 卡 呢 我 已经 用 了 十几年 了 已经 我办 的 浦江镇 到 现在 一直 就 买 就是 用 这个 号 就是说 我 零 六年 办 过来 的 我 买 的 号 买 的 号 用到 现在 情况 就是 这样 我想 办个 啊   对 对 我 今天 更换
喂 你好 呃 您好 请 说 那个 流量 我想续 点 流量 怎么   不是 当月 生效 吗   二十块 钱 一点 五 g
喂 你好 我想加 一下 流量 你 看 怎么 加 吧 这个 月 还有   啊 还有 再少 一点 的 吗 还 没   差不多 六百 一下
嗯 对 流量 翻倍 的   要 改 的 他 自己 不会 改 的 啊 不是 要 去 操作 一下   啊 对 的 是 的 重新 稍等一下 好谢
喂 你好   就是 我 那个 手机卡 掉 了 我 这边 转 到 那个 是 换 那个   号码 是 绑定 的 号码
你好 我 查帐 单 怎么 查 呀   在 哪里   用电
喂   呃 我 想 问 一下 假如 说 我 想查 我 这个 电话 呃 就是 拨出去 的 号码 还是 打 进来 号码 我能 查到 顺便 能查 到 是 多久 的 满近 六个月 的 近 六个月 噢 好 的 谢谢   呃 没有 了
你好 我想查 一下 那个 入账 的 电子 发票
可以 可以   唉 你好 我 我 想 问 一下 你 能 帮 我 因为 我 这边 是 上海 德康 的 然后 你 能 帮帮我 找 一下 你们 负责 我们 上海 德庄 业务 的 业务 业务经理
哎 你好 我 想 问 一下 怎么 把 电子 发票 就是 你 是 要 有些 发给 我 吗 还是 怎么样   对 对 对 对 对   今年 所有 的
喂 你好 是 这样 的 呃 我 了解 一下 就是 那个 移动 的 电子 发票 在 哪里 打印 的   唉 你好 没要 不发 呃 不是 噢 对 呀 你 还 没 发给 我 吗   嗯 给 我 把 上个月 吧 四 五六
哎 你好 我 想 问 一下 我   嗯 嗯 好 的 好 的
你好 就是 嗯 我 我们 这边 就是 我 这边 是 上海 男生 的 上海 男生 投资 管理 有限公司 然后 我们 公司 有 人工 离职 了 嘛 然后 我 现在 想 把 他们 的 短号 取消 掉   不是 提交 公司 就是 以前 我 知道 就是   对 对 对 对
唉 你好 我 我 想 问 一下 就是 我 现在 在 那个 掌上 通知 怎么 没有 找到 那个 就是 有 流量 包月 那个 有 那个 这个   噢 那 现在 有 什么 就是说 流量 的 环境 啊   啊 噢 然后 那就是说 像 那个 那 之前 的 好 的 没 是 哪里 的 那种 流量 我 都 没有 了
唉 小姐 您好 那个 呃 我 的 宽带 的话 要 要 办办 那个 办 那个 移机 我 要 怎么办   对   好
您好 很 高兴 为您服务 哎 你好 我 想 问 一下 就是 我 之前 一直 是 九 几 那个 纸质 发票 了 你们 现在 开始 用 电子 发票 是 吧 恩 对 的 我 怎么样 去 哪个 电子 发票 啊   你 能 帮 我 换个 邮箱 吗 我 不 知道 幺 三九 邮箱 是 我   嗯 嗯 手机 是不是 平时 查 那个 什么 乱七八糟 的 密码 嗯 嗯
唉 你好 是 这样 的 就是 我 手机 里面 有 一项 业务 是 一个 集团 短号 我 觉得 应该 能 看 的 见 是 这 样子 就是 之前 我 是 这个 集团 短号 的 一个 管理 人 我 这边 需要 现在 手机 上 网上 操作 一个 就是 三天 短号 这个 业务 但是 我 手机 上面 王纸 就是 您 这边 能 不能 发给 我以 短信 就行   呃 我 就 就是 我 之前 操作 那个 网站 呀   呃 你 这边 也 不 清楚 这个 网址 对 吧
喂 你好 我 我 那个 家里 那个 宽带 已经 到期 了 是 吧 现在 我 收到 一条 短信 说 什么 按天 收费 了 对 的 对   那 续约 的话 呢 怎么弄 呢 这个 要 怎么 办理   原来 是 什么 的 套餐
唉 你好 我 在 现在 那个 电脑 上 操作 那个 套餐 那个 流量 改改 因为 我 营业厅 是 预付费 四 g 自选 套餐 但是 我 现在 网上 还 没 找 不到 记录 一直 套餐 生效   对 对 对 对 现在 都 是 什么 飞享 套餐   在 哪边 呢 我 没有 这 样子 的
唉 这样 的 我 这个 嗯 这个 流量 用 完 了 我 月底 吗 还有 几天 啊 我 要 再 加个 零 这个 流量 怎么 接   哎 呃 有 有 哪几个 品种 啊   我 到 月底 呢 对
喂 你好   是 这样 的 我 后面 家里 办 这个 宽带 业务 支付宝 为什么 没有 人帮 我查 一下 吗 还是 什么 地方 吗   幺 三 六
唉 小姐 是 这 样子 我 想 咨询 办理 一下 就是 我 手机 话费 的话 是 信用卡 直接 扣款 那个   我 我 我 就是 现在 要 办理 对 吧   知道 知道
呃 您好 就是 我 这个 号 想要 销号 那 我 该 怎么办   噢 就是 带好 我 的 手机卡 然后 到 营业厅 就行了 对 吧   但 您 的
喂 你好 帮 我 联系 再 申请 那个 流量 怎么 申请 啊   然后   这个 月
你好 我 公司 名下 有 一个 有 一个 手机 然后 他 这个 要 换卡 然后 那个 需要 带 他 本人 的话 需要 带 公司 证件 来 吗   呃 呃 是 公司 的 名义 但是 他 做 过 实名 认证 了   对 对 对
帮 我 六十八 号   我 想 问 一下 我 是不是 嗯   这个 这个 为什么 取消 掉 怎么 取消
唉 你好 我 那个 想 问 一下 就 这个 手机号码 的 那个 呃 原先 办 了 不是 我 本人 办 的 但是 那个 用 的 是 现在 是 我 一直 在 用 就是 我 现在 如果 办理 我 自己 名下 的话 怎么办 呢   啊 一定 要 过户 啊 不是 我 这 充值 记录 都 是 一直 我 再 充 一下 充值 记录 也 不行 吗   也 没 办法 就 必须 要 拿 他 的 身份证 原件 是 吧
唉 你好 我 那个 提供 的 那 是 什么 识别 号 对 吧 报 给 你们 的 吗   噢 对 的   知道 的
哎 你好 我 想 问 一下 现在 那个 就是 充值 的话 那个 索取 发票 应该 你好 嗯   噢 给 我 电子 发票 是 吧   呢 我 是 需要 每月 都 要 发票 的 怎么办 呢
哎 你好 我 想 咨询 一下 这个 我 之前 之前 公司 帮 我 办 了 一个 集团 业务 然后 我 这边 大概 短消息 没有 及时 回复 所以 导致 那个 三十三 号 没 开通 那 我 这 一块 的话 是不是 需要 公司 重新 再 申请 一下 还是 说 你们 这边 帮 我 能查 到 就是说 再次 发送 短消息 就 可以 了 吗   噢 必须 还是 要 重新 申请 一下 是 吧   噢 好 的 好 的 谢谢 啊
呃 那 我 问 一下 我 这个 套餐 马上 到期 了 我 要 更改 套餐 要 需要 到 网点 去 吗   你们 现在 就是 我 现在 这个 通话 三百 分钟 不够 用 我 现在 有 什么 套餐 呢   一百三十八
唉 你好 我 那个 想 咨询 一下 我 想 办 那个 集团 短号 集团 短号 是 怎么办 呢 是 多少 钱 一个月   呃 目前 还 没有   啊 对 对
唉 多少 你好 再见   外地   喂
噢 唉 你好 我 想 语音信箱 他 怎么 关掉   cf
唉 你好 呃 我 想 我 这个 手机 最近 开通 国际漫游 我 怎么办 呢   呃 到 西班牙   呃 我 只要 短 我 只要 我 我 因为 是 十几天 的 嘛 应该 应该 是 三十分 够 了 是 吧
呃 那 我 问 一下 我 这个 套餐 马上 到期 了 我 要 更改 套餐 要 需要 到 网点 去 吗   你们 现在 就是 我 现在 这个 通话 三百 分钟 不够 用 我 现在 有 什么 套餐 呢   一百三十八
你好 就是 呃 我 是 前天 你们 过来 帮 我 安装 宽带 然后 是 两 百兆 一年 的 我 现在 想 知道 怎么 交费   嗯   那边 可以 再 加 网上
唉 身份证号 呃 我 我 想 问 一下 就是 那个 我 不是 预约 你们 那边 上门 办理 那个 宽带 嘛 然后 好像 他 是 早上 的 客服 说 意思 让 我 自己 要 这边 一个 路由器 的 是 这 意思 了   哎 好
唉 你好 我 就 想 知道 那个 怎么 设置 那个 电子 发票   不太 清楚 你 发条 注意 一下 给 我 吗   东莞 新买 的 有限公司
噢 小姐 我 问 一下 如果 我 就是 移动 的 电话 那个 套餐 的话 需要 到 营业厅 办理 还是 手机 上 可以 直接   就是 如果 办 套餐 的话 到 营业厅 的话 要 本人 身份证 什么 的   那 我 这边 看 了 一下 您 本人 是 小孩 的 手机 然后 是 用 他 外婆 的 身份证 注册 的话 呢
唉 麻烦 你 我 问 一下 就是 这个 手机 呼叫 等待 为什么 那个 是 怎么 开通 的   就是 平时 我 我 办理 我 知道   噢
噢 小姐 我 问 一下 如果 我 就是 移动 的 电话 那个 套餐 的话 需要 到 营业厅 办理 还是 手机 上 可以 直接   就是 如果 办 套餐 的话 到 营业厅 的话 要 本人 身份证 什么 的   那 我 这边 看 了 一下 您 本人 是 小孩 的 手机 然后 是 用 他 外婆 的 身份证 注册 的话 呢
喂 你好 我 想 办理 一下 那个 资金 转移 我 不 知道 时候 怎么 办理 呀   对 对 对 我 帮 您 开通 一下 请问 您 服务 密码 知道 吗   呃 服务 密码 吗 嗯 对 八 零零 八 零六 八
您 服务 唉 你好   哎 你好 我 想 申请 帮 小孩 申请 一个 那个 卡片 这个 应该 怎么办 理会 比较 好   呃 还 没 去 办
喂 你好 唉 我 之前 这个 流量 不够 用 了 我 想 加一点 怎么 加呀   多 加一点 吧 这个 月 好像 我 住 进 都 没有 那个 wifi 吗   就是 增加 对 吧 这个 月 生效 还是 好 吗
唉 你好 我 想 问 一下 就是 他 先 现在 你们 有没有 那种 比如说 公司 内部 我 同意 比如说 这 一些 元 功能 费 手机号 对 这种 服务 啊   那么 我来 办 号码 的话 是 零 公司 的 营业执照 来办 还是 怎么 样子   对
哎 你好 我 想 问 一下 那个 公司 用 的 手机 和 电话 怎么 说 你们 这里 怎么办   呃 呃 手机 加 打 这个 号码   呃 对 而且 还要 这个 手机 有 绑定 在 一起 的 那种
哎 你好 我 想 呃 咨询 一下 这个 办办 宽带 的 那个 套餐 是 怎么办 的   对   你 看 什么 地方 我 先 帮 您 查 一下 这边 情况 呀 高阳 三次
喂 你好 我 想 唉 你好   啊 我 想 问 一下 就是 我 有 个 那个 什么 语音信箱 我 想 把 那个 关闭 掉 我 要   对
噢 小姐 我 问 一下 如果 我 就是 移动 的 电话 那个 套餐 的话 需要 到 营业厅 办理 还是 手机 上 可以 直接   就是 如果 办 套餐 的话 到 营业厅 的话 要 本人 身份证 什么 的   那 我 这边 看 了 一下 您 本人 是 小孩 的 手机 然后 是 用 他 外婆 的 身份证 注册 的话 呢
唉 麻烦 你 我 问 一下 就是 这个 手机 呼叫 等待 为什么 那个 是 怎么 开通 的   就是 平时 我 我 办理 我 知道   噢
喂 你好 呃 请问 一下 如果 办 那种 宽带 的话 要 本人 身份证 吗   啊 对 对 对 因为 他 上门 安装 的 那种   好 的
您好 很 高兴 为您服务 呃 你好 我 想 问 一下 我 的 呃 我 的 那个 目前 办 的 那个 套餐 里面 的 流量 是 每个 月 几   是 五十块 一个 g 的   对 我 是 在 那个 当月 那个 充了 那个 好像 没有 五十块 的 吧 一 g
很 高兴 服务 喂 您好 请 讲 你好 我 那个 我 的 那个 手机 上卡 大概 是 小卡 换成 大卡 喂 你好   你 这里 悲剧   嗯 还有 什么 帮 您 记录 了
喂 你好 我 发现 我 的 流量 用 完 了 我 怎么 可以 再 加一点 流量 啊   昂有 两个 g 就是 下个月 还有 吗 还是 说 这个 月 呃 只有 这个 月 如果 下个月 想要 的话 下个月 再 开通   那 我 就 只 开 这个 月 吧 如果 下个月 我 再 需要的话 我 再 打电话
唉 小姐 我 那个 积分换 那个 充值 怎么 换   好像 买 了   什么 意思 啊
唉 你好   我 想 我 想 咨询 一下 就是说 我 公司 上面 买 一张 呃 电话卡 需要 什么 手续 吗   不 本身 原件
为您服务 唉 你好 我 叫 我   今天 发 那个 这种 东西 而 我   他 那个 积分 怎么 通话 呢
哎 你好 我 想 问 一下 那个 公司 用 的 手机 和 电话 怎么 说 你们 这里 怎么办   呃 呃 手机 加 打 这个 号码   呃 对 而且 还要 这个 手机 有 绑定 在 一起 的 那种
唉 你好   我 想 我 想 咨询 一下 就是说 我 公司 上面 买 一张 呃 电话卡 需要 什么 手续 吗   不 本身 原件
对   我 想 问 一下 现在 有 那个 亲情 号码 要 怎么 申请号   那 我们 这边 有 一个 八块钱 的 一个 和 家庭 业务
喂 你好   我 问 一下 就是 我 这个 卡是 两 g 的 呀   然后 我 我 申请 到 四 g 的 卡 问 一下 怎么 激活
现在 装 宽带 怎么 装 呢   这 这 叫 啥 的 五号 刚   呃
哎 你好 我 想 问 一下 就是 关于 我 移动 手机 上 的 手机 给 我 绑定 下 我 要 解绑 再解 绑 的 话费 我 可以 电话 对 吧 还是 需要 人去 营业厅 去 了   呃 是 可以 那个 通过 电话 转过 去   就是 我 是 发 起来 就是 我 把 就是 绑定 到 我 跟 我 绑定 单 然后 把 那个 号码 解除 掉
哎 我 想 问 一下 我 想 那个 我 这里 那个 wifi 能 不能 呃 那个 就是 网络 怎么 关掉 我 开通 一个 日本 的 漫游 啊   唉 对 的   知道 的
喂 唉 你好 所以 我 想 问 你 一下 我们 单位 不是 从 那个 下个月 开始 就要 给 每个 员工 那个 那个 发 那个 充值卡 吗   嗯 这样的话 就是说 我 充值卡 我 在 哪里 买 然后 发票 怎么 给 我 提供 的   对 对 对 上海 移动 的 充值卡
服务 喂 你好 我 这个 一月份 的 账单 怎么 打印   这个 发票 打印发票 发票 的话 一月份 他 没有   对
唉 你好 我 问 一下 就是 那个 移动 账单 的话 是 通过 那个 幺 三九 邮箱 发送 吗   那 那个 发票 那个 账单 和 发票 是 一样 的 吗   那 那 这个 的话 你 看 一下 我 这个 呃 手机号 的话 有没有 开通 那个 自动 发送 的 这个 这个 功能 因为 我 去 登陆 那个 幺 三九 的话 没有 收到
唉 小姐 我 现在 我 想 我 想 把 积分换 流量 你 把 这个 呃 呃 网址 发给 我行 吗   到 您 手机 里面 啊 那 还有 什么   我 就是 把 积分换 呃 流量 这个 网上 给 我
喂 你好 我 这个 移动 号码 就是说 那个 漕宝路 那个 钱能 不能 谁 过来 啊   这个 移动 号码 我 不想 再放 那个 那个 用 那个 系统 手机 用 完 了 我 感觉   把 那个 提供 来 把 那个 和 和 钱包 里面 那个 和 支付 不是 有 一个 交通卡 吗 就是 我 你 帮 我 交通卡 那个 钱 提出 来
唉 你好 呀 我 就是 公司 的 我 要付 就是 网银 支付 那个 就 移动 的 费用 吗 知道 唉 我 那个 叫 什么 上面 就是 我 的 帐号 应该 填 哪个 是 你们 的 序列号 还是 就是 那个 时间 下面 的 什么 一 零零 九 那个 是不是 一 零零 九 的   对 对 对   没有 我 网银 支付
的 喂 你好 唉 我 的 那个 手机 我要 电子 那个 账单 怎么回事 啊 电子 发票   呃 你 看 是 这 样子 吧 对 对 对 对 对 我 要 四月份 五月份 的   我 我 五月份 没 付费 吗
喂 你好 什么 可以 帮 您 唉 我 停 这个 那个 呃 办 的 是 是 在 哪里 去 啊 宽带 是 吧 嗯
您好 很 高兴 为您服务 唉 唉 先生 我 我 想 问 一下 因为 我 这里 这个 紧急 进去 啊 我 是 流量 银行 银行 我 想 办 一个 流量 套餐 的话 我 怎么办 办 一个 流量 套餐 是 吧 对 呀 我 看到 有个 叫 四 g 流量 卡 后付费 五十元 一个月 有 两 g 国内 流量 的 这个 怎么弄 因为 我 本来 就 有 个 套餐 的 我 说 我 以前 的 五零 套餐   嗯 嗯   对
唉 是 这样 的 我 看到 你们 那个 网上 不是 有 合约 机 吗 是 华为 那个 畅玩查 的 那个   我想 问下 怎么 办理   他 那个
喂 你好   呃 我 想 请问 一下 我们 那个 办 那个 在 在 移动 的 办 了 宽带 怎么办
啊 是 这样 的 我 这 我 的 那个 你们 现在 移动 的 那个 那个 宽带 怎么 装   噢 噢 好
您好 很 高兴 服务 喂 你好   哎 就是 我 想 问 一下 我 一个 手机 嘛 然后 你们 幺 零零 八 六发 了 一个 信息 说 我 在 这个 月 截止 到 十四号 之前 还 没有 用 这个 手机   嗯 嗯 呃 然后 我 跟 你 说 一下 因为 我 这个 手机 呢 就 不 小心 摔坏 了
你好 那个 我 想 问 一下 我 这个 电话 办理 出国 漫游 那个 不是 开通 数据 漫游 的话 它 怎么 操作 啊   呃 不是 不是 短信 就是 那个   噢 那 就是 打电话 开通 还是 去年 一批 上 开通 还是 怎么样
唉 喂 你好   呃 就是 因为 我 手机 呃 变成 一个 叫 就 想 停机 一下 怎么弄 啊   嗯
唉 你们 帮 我查 一下 我 如果 要 办多 张卡 然后 公司 名称 需要 带 什么 东西 证件 到 今天 吗 这   噢 单位 授权书 加盖 公章 是 吧 对 公章 带 然后 每个 月 知道 是 什么   单位 授权书 是 吧
喂 你好 你 中 呃 问 你 一下 就是 改 密码 是 发送信息 发送 多少 是   就是 改 宽带 密码   幺 八
喂 你好 这 样子 我 因为 这边 如果 需要 我 这个 号码 的 发票 的话 怎么办 呢   刚刚   你 帮 我发 一下 好 吧 这些
您好 很 高兴 为您服务 唉 你好 就是 我 想 问 一下 呃 川沙 这里 的 那个 换购 手机 的 活动 我 应该 去 哪里 参加   噢 要 带 身份证 是 吧   怎么弄
我 想 咨询 一下 就是 就是说 有 那个 自选 套餐 怎么 升 流量 申请 什么 意思 呢   七点 多 了 就是 这样 的 我 是 每个 月 消费 一百零八 块 哦 我 两个 g 都 不够 用恩 你 看 我 现在 怎么 怎么 怎么 操作 比较 好 那 您 可以 往 上 提高 一档   三个 g 加 三个 g 六个 g 啊
唉 你好 我 想 帮 我 看到 收到 你们 幺 零零 八六 的 那个 短消息 说 什么 呃 流量 升级 什么 的 这个 怎么 办理   他 不是 说 什么 免费 升级 他 说 我 叫 什么 五 什么 的 什么 密 什么 东西   啊 就是 看 就是说 赠送 到 明年 六月份 对 吧
手机 那个 流量 没有 了 然后 办 那个 发 六六 零六 那个 加油 包 吗 它 好像 一直 回复 过来 短信   好 已经 加进来
喂 你好 唉 那个 我 这个 手机号 想 打 那个 发票 是 是 是 需要 向 你们 申请 吗   对 对   不 知道
哎 你好 我 想 我 想 问 一下 你们 那个 集团 那个 什么 那个 业务 怎么 取消   说 只能 查询 到   这个 卡号 多少 好 那 以前 的 事情 呢
喂 你好   我 就要 换成 零找 谁 啊   的
呃 我 我 需要 查 一下 我 的 前两天 的 通话记录 呃 现在 应该 怎么 查   那 网上 营业厅 我 现在 已经 进去 了 那 我 现在 不 知道 新买 一张   可以 查 查看 我 的 移动 我 的 移动 二 的 详单 查询 是 吧
哎 怎么 老是 再说 取消 啊 怎么   就是 我 这个 这个 手机 是 你们 那个 嘉定 平路 买 了 一个 华为 一次 然后 就 目前 的 时候 二百多 他 给 我 换 这个 多少 一年 不能 用 了 就 说 我 按 一个 幺 零零 八六 套餐 或者 还有 一个 一 再见 啊 就 大约 在 半个 小时 好 嘞 然后 再 他 可以 按   就 这 这 这 还 能 用 你 说
唉 你好 呃 我 想 问 一下 就是 怎么 把 手机 开通 一下 高清 高速 就是 手机 上面 有 一个   对 啊 因为 这边 在 又 在 这 房间 里面 信号 不好   机主 姓名 早 包条
喂   而且 交易 我 现在 这个 手机 我 想 我 这个 手机 说 下个月 下个月 给 我 说 终端 办理 啊   在 哪里 啊
呃 您好 我 想 问 一下 就是说 我 我 有 一个 家庭 套餐 的 一个 呃 号码 然后 面 里面 有 一个 号码 是 幺 三 六 幺 幺 九 零七 零零 五   我 如果 我 把 这个 号码 信息 的   家庭 套餐 之外 不用 了 然后 我 再 让 他 重新 再办 一个 号码
我 就 现在 流量 用 完 了 我 想 充点 流量 怎么 充 啊   二十元 多少 啊   二十元 那个 什么 便宜 啊
您好 很 高兴 为您服务 喂 你好   啊 我 想 把 那个 我 的 副 号 也 解绑 了 怎么 写 啊   对
唉 你好 小姐 但是 我要 开通 那个 国际 国际漫游 怎么 开通 啊   呃 到 英国 意大利 法国 你 是 我   呃 噢
唉 你好 我 问 一下 我 这个 这个 话费 我 怎么 那个 套餐 一百二十八 的 感觉 最低 的 怎么 改   八 零零   哦 哦
唉 喂 你好 是 这样 的 呃 我 记得 我 之前 的 套餐 里面 应该 是 有 一个 就是 亲口 电话 就是 互相 打电话 是 免费 的 然后 如果 我 现在 要 更改 电话 的话 是 怎么 更改 的话   都 可以 网上 的话 是 在 哪里 改呀   四五一 五
喂 唉 你好 我 刚刚 收到 一个 短信 说 什么 买 一次 充值 然后 有 一个 呃 流量 流量 的 什么 网 银包 一零二 四七 二一零 二四 送 的 这 就是 对 我 这个 号码   啊 就是 我 那 我 我 要 怎么 开通 呢 要 要 要 什么 其他 的 需求 吗 我 这个   噢 那 我
没有   你好 哎 我 想 问 一下 那个 网上 打 那个 发票 怎么 打   我 我 就 想 没用 那个 我 我 要 打 我 要 打 那个 就是 上个月 的 就 行江辉
很 高兴 为您服务 唉 你好 是 这样 我 想 问 一下 就是 我 现在 打 进来 这个 号码 我 然后 就是 准备 想 呃 停停 掉 就是 不用 的话 呃 你 这边 可以 办 吧   呃 停机 保号 是 怎么 概念   噢 我 明白 就 停机 保号 就是 一个月 五块 钱 就是 这个 意思 然后 到 营业厅 销掉 了 就 就 不用 不用
帮 我 咨询 一下 小孩子 办 呃 手机卡 的话 是 需要 提供 什么 资料   啊 没有 身份证   办 了 一个 身份证 下面 不 超过 我们 我们 账单 已经 有 移动 的 那个 号 可以 冲 什么 超过 五个 不 超过 五个 号码 欠 多少 吗 ok 好
你好 那个 就是 我 那个 手机 我 的 手机 有 一个 套餐 但是 到期 了 昨天 到期 因为 我 这边 在 外地 出差 就是 我 原来 续办 一下 怎么办   呃 对 我 手机 有 一种 呃 送 宽带 的   噢 好 的
唉 你好 我 在 网上 营业厅 上面 想要 了 九十 月份 的 一个 通话 详单 之前 的话 他 这边 是 有 一个 要 不要 可以 导出 的 吗 现在 的话 我 不 知道 是 在 哪里 你 能 告诉 我   对 我 知道 但是 我 今 在 这个 界面 上 也 能 看 得到 但是 它 之前 是 可以 有个 一个 不要 表 直接 导出 的 应该 是 没有 的   嗯 没有 勒 界面 也 付 过来 跟 上个月 是 不 一样 的 我 不 知道 你们 是 怎么 打
嗯 嗯 好好
哎 我 想 问 一下 这个 语音信箱 怎么 关掉   苹果   噢 好
你好 所以 我 我 想 问 一下 我 那个 积分 怎么 流量   噢 你们 怎么 怎么 搞 呢 我 有 多少 积分 知道 吗   知道
你好   现在 家庭装 宽带 怎么 装 呢   二 五一 四 啊 航 中路 航 中路
呃 你 你们 现在 这个 发票 怎么弄 啊 这个 电子 发票 我 现在 在 网上 查不到 怎么 我 想 让 你 官网 我 登录 完 了 以后   什么 随机码   我要 从 二月份 到 现在 的 吧
办理 好 了 我 这边 有 一个 就是 送 的 一个 什么 宽带 然后 我 现在 不 需要 了 就是 他 今天 到期 了 嘛 然后 我 想 问 一下 怎么 退   虹口 要   对 一定 要 到 虹口区 的 大 嗯
哎 你好 我 想 问 一下 呃 呃 移动 的 这个 号码 天数 校 讯通 啊 需要 办理 什么 手续 啊   对 我 女儿 毕业 了   啊 什么 东西
哎 你好 我 想 问 一下 宽带 要 移机 的话 要 怎么 办理 呀 关   唉 对 的   就是 这个 手机
唉 你好 我 手机 丢 了 手机 丢 了 这个 号 怎么 冻结 了 好 吧 停电   唉 等 一下 啊   嗯 就是
唉 你好   我想 改个 套餐   呃 现在 不是 五百 分钟 通话 嘛 然后 能 帮 我 改成 一千 吗
我 想 咨询 一下 呃 现在 我 假如 我报 一个 手机卡 升级 为 四 g 卡 嗯 应该 可以 到 营业厅 去 办理 的 呀   呃 到 就近 的 营业厅 那么 我 问 一下 呃 如果 我 本人 没空 我 委托 他人 去 办理 可不可以 啊   啊 这个 代号 就
那 移动 伐   哎 我 想 问 一下 我们 就是 公司 一下 想 申请 一个 电话号码 的话 如果 退   不 本身 原件 都 要 改 吗
唉 你好 那个 我 想 换 基础 套餐   对 就是 我 现在 是 一百 哎 八十八 的   对 然后 我 想 换 就是 那个 流量 比较 多 的 然后 通话 通话时间 可以 少
喂 你好 你好 我 想 问 我 这个 手机 想 开通 一下 国际 国际漫游 对 吗 对   知道 的   嗯 五行 噢 对 看
您好 很 高兴 为您服务 你好 我 想 那个 宽带 我要 续签
您好 很 高兴 服务 但 你好 我 想 把 那个 手机 开通 一下 港澳台 漫游   对 对 对 对   知道 知道
您好 很 高兴 服务 哎 你好 我 想 开通 一下 国际漫游   恩 不 知道   恩 五二 零 幺 零零 三 一九八 一一 零二一七四 二五 好 那 也 没 办法
哎 你好 我 想 问 一下 你们 那个 幺 零零 八六 就是 移动 公司 装 那个 魔盒 怎么 装 呢   是 装 宽带 呀   没有 啊
呃 我 我 的 呃 我 的 我 的 我 的 流量 已经 用 完 了 都 不儿 没有 什么 前 几天 发给 我 说 积分 可以 换 流量 的 什么   六百六十 几分   这 这 上面 写 的 六六 六百多分 可以 换 一百 到 五百 吗
对 嗯 嗯   您好 很 高兴 为您服务 你好 我 想 一个 继续 付 一条 宽带 这个 这个 手机号码 申请 的 宽带 吗 可以 好 的 对   对
唉 你好 先生 我 那个 之前 有 一个 移动 的 一个 宽带 啊 到 十一月份 应该 是 那个 到期 去 你们 这个 移动 送给 我 的 那个 有个 什么 续用 啊   对 对 对 就是 我 到 十一月份 时候 我要 把 它 取消 掉   这个 要 带 身份证 到 网点 办理 的
