喂您好 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 彩铃六块六块是什么东西啊 什么阅读 
那我那个一月份的我有一个号码看一下在不在我的那个套餐里面 流量打一下那个 是的 二幺八七 
唉小姐你你你帮我看一下我改一个套餐他给我上账上礼拜因为上个月使用的流量不够嘛我本来是一百的后来我改了一个一百八十万达哪个八再加一百八上去了 噢 都知道了所以也没跟我说 嗯六的是你是你的那个一百三十四掉了是吧 
您好很高兴为您服务唉喂我想问一下你现在那边可以看到我这个手机不是用的是什么套餐啊 嗯就是前两天好像是这个手机收到一条消息吗说什么可以用是一百十八块钱了然后它是三个g的流量然后还有一点通话的时间有没有这个套餐 噢好唉对的这个嗯对有这个业务有有有这个套餐对吧等会儿然后我问一下 她女儿它只有五十分钟通话你要吧那你我噢那那谢谢啊它不用不花钱还是很大的 
喂你好呃我想查一下我现在这个手机嗯嗯用了一些什么套餐我都忘了好像我记得之前有唉有一个什么动感地带还是什么但是我都忘记取消了 嗯还有什么 长途优惠包 有一个嗯三十五百的那个你可以帮我把那个动感地带的取消吗 
噢 麻烦你帮我看一下看一下就是我有什么不到我这个有什么套餐呢我就三十八套餐去了 噢那那那个开通那个流量呢 我开通流量十块钱是多少兆 
嗯嗯喂就有一个什么套餐了他我我你帮我看下我只有一个二十八元的套餐是它有吧 唉我不是他那个恩 华为信台是什么东西啊 是啊是什么业务了你写的不是第二它写的业务比较划算 
呃我这个那个香港漫游有没有开通我的手机 嗯嗯办 我看一下然后有什么套餐吗现在香港 上网 
唉你好你帮我看一下我现在手机是不是有一个那个可以留言的扣呢 呃没开是吗 噢我好像以前一直没有忽然就有了 就是你们这边收费吗 
喂你好我就想问一下我我这个套餐是二百 嗯对这个套餐的话它能不能再改改一个别的套餐呀 现在的话是就是说现在这个用不了了二百三十八的太多了就是说改个一百五十八 两g流量是吧 
嗯我的套餐不是六十八块 你帮我改成十八的十八 啊我知道我知道打电话 接接电话不 
喂 唉你好呃你帮我看一下我这个手机就是国际漫游开了吧 开了对吧 
什么 啊喂你好我这边就是说想查询一下那个流量安全加油包是就是说开通之后它会一直就是说每个月都会在那里头 噢这个你给我关掉了 噢这个我不知道 
唉你好哎我想问一下就是这个我的这个手机号码有一个那个家庭宽带的服务你看一下有吧然后让我正在的活动是吗唉对的晚上就到月底结束的唉对对对我想问一下就是说接下来如果还有这个活动吗 是跟现在一摸一样的吗就是说对的一样的是吧那我绑定的这个副号码我们俩之间通话也是要收五块钱的费用的 一样的是吧对对对唉那可以那我现在处理这边续接听可以吗 唉对这边的是这个我就我就不去营业厅了打电话这样可以吗 
你好我这边有一个送话费的活动是吧 到期了没有帮我看一下呀 可以取消啊 那我这边要取消吗 
喂唉你好你帮我查一下这个手机现在的那个套餐是什么套餐啊 呃呃多少流量的呀 对 块 
唉你好我想就是说一下那个我现在这个号码上面是不是绑了一个另外一个手机号码的 呃那个能给我取消掉吗而且它这个月租费这个功能也就做掉 家庭六家庭互打免费吗 嗯那个那么我再问一下就是就是我现在绑定的这个卡不是我这个号码是另外一个那个被绑定的号码它是十八块钱月租的吗 
喂你好我想 想问一下我我那个问一下我我的手机是办了一个两g的套餐是吧 但是她我上个月就是上个月还有额外又送了我两g吗这个月不知道有没有送 是送到一八年六月份的免费 
二十号啊 那个我今天到上海那个移动营业厅那个鲁汇五浦江镇路和那个营业厅啊去办理的那个什么我这个我也不懂可能什么地方碰到了那个可能要这个付钱的吗他给我查了一下 呃我上个月十五号买的手机吧那个到现在他说可能这个流量我打电话碰到了可能好了可能呃我把流量开通了可能我也搞不懂 关闭了嗯对的那以后流量就没有了吧 
唉你好 呃我我现在这个月的那个套餐套餐是什么套餐你帮我查询一下好像是一百五十八的这个 一百五十八里面是应该是两个g对吧 呃还有通话 
喂你好我想问一下我现在的套餐是哪些是什么套餐啊 里面送了一些什么东西啊 本地流量是吧但是我我每个月你们那个送的那个之前我是用的那个一百三一百三十八的那个然后你们让我们让我办一百五十九的现在你要让我办一百块钱我们也不是你们是不是就是那个流量根本都没有送给我呀 不要都送到那个两个两个g的流量去哪里了呢为什么还说我一个月超出了一百八十八的那个什么 
哎你好我想问一下我的那个流量套餐是多少的 二十块钱两个g那我每个月最低消费是有多少呀恩 一百二十八这个我知道那我流量是多少每个月多少钱一个g是五十对吧 就是然后我有一个语音包是二十八 
唉你好我这边呢就是这个月有开通那个一个定向那个视频流量的一个套餐吗 不不是那个是那个视频的定向视频流量那个 到月底呃我上面订购的时候他跟我说下个月自动续费啊 对你帮我看一下因为我下个月就想取消掉 
哎你好我想问一下我月底呃是六月不是五十八的月底跟我又没有帐号充的钱因为这个月扣的正好一号就欠了五十块 一月一号 我知道呀我就七月 七月份什么套餐月租是五十八吗我这边帮您已经用超了 
唉你好先生麻烦你帮我看一下我的这个手机原来那个套餐是不是被我在那个app上面改成什么流量可选包什么写错了呀我怎么看到他上面提醒我什么下个月也是什么流量可选包什么结果 呃这个可选包是什么意思啊我我之前是那个五十块钱两个g的吗 嗯嗯 额外叠加的流量是这个月的吗 
唉喂你好我昨天我这个电话吗呃能帮我转接那个漫游的话我现在要回家去啊 嗯再我我这个号码不是外地了我在上海上海的但是我现在要去其他地方吗 噢那我这个套餐不是当时三十多块钱的嘛 噢噢我以为单块钱的 
哎你好我想查一下那个我那个手机套现在有哪些嗯业务 不是这个号码五月份 嗯幺五零零呃等一下幺五零零三四零二五零 嗯 
唉你好请问一下噢我查询一下这个卡的套餐是怎么样的 这样 幺三二二五八三八八四八 呃那如果我要是拨打安徽的我应该怎么当中 
您好很高兴为您服务唉先生你好唉不好意思我们刚才这个弄弄错了那个彩铃套餐你查一下这个号码有个彩铃套餐我们这儿 密密码那您机主 啊呃叫汪颖姓汪汪颖琛 身份证啊等会儿等会儿在代表 
呃你好那个我想问一下我这边开通的那个结呃集团的那个短号什么时候才能开通呀稍微已经很久了 对的 呃没有我我但是我为了我们公司就是办理这个的同事他说已经报上去过了呀 那你你这边不能帮我看一下嘛 
唉小姐你好 因为我那个它一直这两天一直收到短消息说我什么增加流量什么三g怎么送三g我问一下我现在套餐情况是什么样的 那我是不是七十块钱再加一个来电接听就是我我好像是一百零八还是 四十是什么东西 
唉你好帮我看一下我这个卡是是什么业务那边 现在有什么合适的套餐吗 噢别的没有是吧 好的我知道了你们那里现在现在移动移动营业厅里面有没有什么是充话费送手机的有没有这个 
高兴服务 唉我有一个那个家庭畅打包功能吗四四一个月八元的对吧我这个要取消掉 我知道的 呃有一分 
对 那你帮我查一下我现在这个电话号码上面好像是绑了一个宽带对吧 呃是这样我在另外一个地方这边还需要装跟你们的宽带的话是没问题吧 好噢那我没有号码呢就不能办理 
你好是这样的我问下我七月份的话费账单有出来吗 呃可是我还没有收到 呃对电子发票 但是差不多什么时候能介绍的会发给我 
唉那个你帮我看一下我这个号码有那个来电提醒吗 你帮我开通一下好吧 我大概我忘记了 吧 
唉你好 我现在是一百五十八套餐对吧 我现在是到九月一号到期对吧 那么现在帮我那个一百三十八分钟的套餐是呃空号分钟通话 
喂您好我想那个查一下我现在套餐是一百五十八一个月是吗 然后这个是我这个是一个套餐服务是十二个月的是吗 噢这个是十八个月对吧 合约到十八个人到什么时间 
哎你好你能帮我查一下我现在这个手机这个原先这个套餐是什么套餐每月多少钱有没有流量包 啊对我刚才是通过就是你们这个人工短信然后自助办理的就是下个月月初就生效了是吧 噢原来是不是五块是吧现在是十八原来不知道是吗 噢好的好的然后我看他接听是免费然后打电话是一毛九是吧有没有自己三十块五十分钟的 
您好很高兴为您服务喂你好我想问一下我这个手机现在有开通什么业务吗 就是说我现在还有一个就是他已经扣完费了然后就是说九月底到期然后十月的时候可以关掉是吗 那就是我想问一下我就是业务我在上海的时候都没有了为什么我一回家我就好多业务都是开通的呢 噢那个包月套餐是有什么用吗 
您好兴为您服务 呃就是我你帮我查一下好吧这个号码 不是有开通了什么通视频通话是吧呃嗯有高清通话什么有的噢那我不需要这个 我报一下手机号码跟那个身份证号码啊 
你好帮我查一下我现在那个流量是呃资费是怎么样的 下个月五百兆是二十块钱对吧 不是说要五五五百五百块钱才十兆的吗 你不是说要返话费的吗 
呃小姐我是收到你们那个短信建议我加一个六十八元的套餐五十元的那个 呃五十元的流量流量然后是十八块钱的语音我想问一下我现在流量套餐是多少钱 噢是那五十分钟通话本来是一百分钟是吧 嗯那我想问一下如果我现在办理那个五十分钟加一g的流量它还送什么东西我不是很清楚 
呃喂你好我想咨询一下我现在用的是什么样的套餐 的能不能更改啊 噢就是我之前好像是他稍等我记的 我之前我好像记得是三十八的套餐 
呃你好麻烦问一下我办了一个那个就是国际漫游这一个业务 麻烦帮我看一下我现在办理状态是怎么样 就是那个等于是我现在因为马上明天要去澳大利亚就等于我现在是呃去澳大利亚的接电话听电话还有这个发短信收短信什么的已经正常可以用了对吧 然后那个流量我办了一个那个五天的就是这五天是不限那个呃不限流量的是吧 
唉你好是这样子我那个和教授上面定了一个二十四块钱三十g吗对吧 噢那我现在这边订的有什么业务吧有 噢其他就那因为我这边显示是我那个就是领成功了然后他说下个月会继续扣款我就怕万一就是下个月再扣款 好的好的谢谢啊 
好的您好很高兴为您服务哎你好我想问一下啊我不是我跟我们同事一直又剩了一个十八十八块钱的那个四g飞享套餐对吧他为什么是免免呃全部可以有一百分钟免费的我为什么只有五十块钱五十分钟了 他号码你等等啊可以吗哎再见 然后稍等啊 来再见不好意思旁边按职业了这样的那个 
你好请问一下我本机是什么套餐呢 就他这个里面是不是就是上网上能看的出来了 他这个月就是上个月什么时候办啊哦 应该知道 
哎你好我想问一下你你帮我查一下我的套餐嗯 我刚才弄错了应该是哦 我只要一个套餐内的是二百六十八的一个七十个就行了流量的二百六十八对就是说二二十元的充值 哦 
唉你好我刚刚收到你们的短信说是我下个月初会扣掉一百二十八元的什么月租费然后我那个套餐已经到期了而且我上个月已经改套餐了我想确认 关掉 嗯知道 啊没有了谢谢 
喂唉我你帮我看一下我现在套餐是个什么套餐我忘掉了 喂你好 那我今天下午那个在那个网上呃点击了我的礼包什么的扣五十元我们没还没没看明白一个什么意思 什么一个包啊 
唉你好麻烦你给我查一个号码的流量有没有到账 嗯好的嗯号码是幺三七 九五二七 六零 
喂你好麻烦你帮我这个本机查一下我这十八块钱的套餐确实八元套餐还有其他的收费的名好吧 嗯嗯好的谢谢啊就是说因为我跟你说什么原因呢以前以前前一段时间没有了就最近的时间我说我打这个电话或者是打通或者是打不通马上我手机上随时发个信息过去因为我想问自己小姐给我回信息说我在想唉我没给他发信息怎么可以发信息了我我手机发个信息给别人但是不是我发的那这个怎么回事我就想问问这个是不收费的 不知道呀我不是很熟我要咨询了一个幺零零八六呃那个可能那个账务员他跟我说叫我发送到幺零零八六发什么pos是这一笔吗给我发送 发送过去了现在好像在这个可以打了两个电话没有那个信息了 
唉你好唉我想问一下我刚才收到个短信说扣除那个电话费是那个 我唉 不是我刚才收到一个短信电话费是不平时用的那个套餐那个费用啊 嗯哼 
你好我想问一下我现在这个手机号码有什么套餐在用吗 噢三十八块里面有什么东西 三百兆流量是不是很开通的长 好的 
噢你好你帮我看一下现在这个手机上都开了什么业务 
喂你好我这个你你们那是不是说给我改到什么套餐 不是一百二十二十分的吧 后来不是给我改那个什么套餐呢 他们说打电话都是我不是十九分嘛他说跟我昨天 
那帮我看手机都开通什么业务了 幺三四 八二八五 八二八五八二八五八九幺七 
您好很高兴为您服务唉你好我是刚才你们打电话给我现在说那个宽带业务的嗯嗯唉就是呃消费一百零八是吧后面给我办理给我办好了叫询问一下 是是这个我的手机号码 你还没登记 都没给我们办好不行吗我想再问一下就是说我的手机就是比如说一百零八有时候超过一百零八那个费用怎么算 
唉小姐你好我想如果呃我想把那个我想问一下就是我我我不是开通了那个国际漫游的嘛 啊国际漫游的然后是不是那个流量费这三十元 就是每每天都是这样扣的三十 噢那我想现在取消这个就不 
喂你好我这个这个主卡不是就是我这张卡有没有没有套餐现在多少呀 对的是设备号码 
那你帮我看一下我是多少套餐的订了订啊 三十块钱 刚才可以流量流量稍微那个大一点的 那怎么老是不够用了再 
嗯嗯喂 哎我想问一下我的手机现在他的套餐是什么看我手机我想每个月弄的我也是蛮多的嘛 那个什么什么意思就是五十八的什么套餐 没呃我是流量是不知道 
唉你好那个我想我想问一下我现在的套餐呃那个电话套餐有哪些 噢一毛九然后现在想退的可以吗 我现在是想在网上自己那个订那个重新订一下套餐好像嘛就原来套餐 噢是这样子的噢好的好的谢谢啊 
您好很高兴服务喂你好我想问一下我想问问请你帮我查一下我这个就是我这个功能里面有那个港澳台的国际漫游吗 呃身份证 嗯三二零七二四一九八五幺零二零四四六周娟 呃去香港澳门 
哎你好我想咨询一下就是你帮我查一下我现在目前的一个流量套餐的一个噢嗯嗯 一个g是吧那我因为我收到一个短信吗我现在还剩大概五个g左右啊但是怎么会还有产生额外的套餐套餐什么额外的那个二十三兆的 我在上海呀 没有去过呀 
喂 呃我这个手机这个到这个月底就是那个套餐服务都结束了是吧我想 不是换个套餐我想办的宽带 为了更好嗯 
喂你好 那个我查一下就是说我这个手机之前那个不是有一直有那个增值费用吗 就是说我那个打那个这个服务台电话好多次电话了打了好多次电话我也是那个上面那个手机营业厅查了一下我这个月好像有有二十多块钱的那个都是费用还有六十块钱的那个上网费用因为我这个流量是不开了 账单上次我想家里有无线网的因为我那个家里有无线网平时我看我这个月就是流量费收了超出了六十多反正我这个八十八元套餐就有那个七百兆流量吗 
很高兴为您服务帮忙 嗯麻烦你帮我查一下我这个手机号码绑定的那个无线网络你能帮我查到吗 怎么不 噢 
唉你好能不能帮我查一下我的就叫什么活动啊参加的活动什么时候到期 一半年六月底然后 我之前参加活动的时候他让我每个月都要激活一下那个手密码我想问一下他说大概一个月左右我想问一下这个月要不要要不要那个激活 不需要啊 
你好 问一下这个套餐这个号码的套餐一个月是多少钱呢 五十八块钱五十八恩五十八五十八五十八是吧 噢谢谢啊 
您好很高兴为您服务唉你好小姐呃我想问一下我现在这个号码好像没有办法打国际电话就是直接拨的那种是吧 那我可以开通吗 密码 给我不知道 
哎我想问一下我刚才打过电话就是做一个套餐我不知道是五十八的还是八十八的 啊 他那个那个就五十八里面 您是说八十八一共是八十八应该是流量是五百兆是吧 
唉你好就是你帮我查一下我现在这个手机套餐 
唉你好我问一下我当时买了一个去好像说是短时流量包只有消息是二十四小时那个对 这个东西呃可以分享吗因为 可以说说 恩好好 
喂你好那个我之前你们那边办的那个什么二十兆宽带就是免费的那个 然后我现在要搬家了然后也是办到同一个小区能帮我转一下吗 对的对的啊就是我带身份证呃去就是说我我我我我我能不能直接打电话让他们工人过来直接给我换一下吗 噢行我知道了谢谢啊不客气麻烦您了拜拜 
唉你好就是我上个月就是我以前订的那个三十块钱流量包取消了没有 我刚才那怎么就是呃呃来那个电话说是你们移动公司的幺七零号码了三幺幺三六二九六 就说我不是我这个没取消我说我呃我为什么前 他他说什么他说我什么十六块钱什么东西说我说我没东西你还我都能不能帮我取消掉我说我没订的东西有没有你凭什么给我东西取消掉是不是我所以我打电话问一下看看 
您好很高兴服务哎我想有一个我你帮我查一下我的套餐到期了吗 过去了是吧那我换一个套餐 八五十八的吧 呃我我流量太多我用不着这么 
唉小姐我想问一下我这个手机绑定的宽带到期到几号结束 现在你们里面还有什么还有什么那个宽带的高活动了 嗯八百八十块两年 那现在我这个是五百五呃十三个月是吧 
喂你好我那个就是啊套餐你选什么 一百三十八和名字对您刚换没因为三个g现在有没有就就是办理的时候那个是这样子就是说现在你好你 从七月份开通的五两个两个人是两g 刚办的时候你你们说好了赠送两个g我本来我本来本来没有一百三十八就一百一十多的话我都已经有一个g不变它改套餐我不可能说六月份是吧 
唉小姐你好 那我这个语音套餐是我这个哎月租是十八块钱是吧 那我上个月不是多了五百兆就买它这个有没有充给我啊 没有这回事啊 
你好我想问一下我这个现在这个上面是什么业务啊 嗯嗯那我呃现在一个信息他现在我那个流量超超出了然后扣五块钱是什么意思 不可能我我就刚开以后然后我又没看视频然后我基本上都是用的联通的那个 嗯嗯一零零八六发了一个短信 
嗯哼唉我你好我想问一下我现在那个套餐的流量是多少 为什么现在显示就一个 嗯三六零 幺零九幺是吧 
哎 就是我这个手机号码那个应该办过一个移动的宽带吗嗯是不是到期了 对的 按两个八月底嗯嗯噢那我要是报修的话是按嗯返回去啊 
您好很高兴为您服务哎你好帮我那个就是呃你帮我看下我这个号码有没有那个开通彩信那个服务啊 我想看我刚才就是一直发彩信为什么发不出去呢 就是wifi状态下也可以吗 把wifi关掉把流量打开始的就是用自己发是吗对他不需要 
呃就是我刚刚这个就是另外一个号码换了套餐我想咨询一下我换了套餐有些功能还有吗我把号码报给你啊 幺三九 幺六二九 七二四 
唉你帮我查一下我的手机办了是什么样的业务 一百块钱流流量包不是上个月不是帮我取消了吗 噢那你帮我取消吧我有那个八十八就够了 呃知道的 
唉你好 好我现在这个因为我这个卡现在这个业务什么业务啊 用了它这个还送一百分钟是吧没了 送到六月底 
喂你好 你帮我查一下我的手机上面有开通了多少那个啊 就一个八十八的套餐是吧 这一个月账单能不能帮我查你能不能帮我打出来 
喂你好哎刚才我给你打过电话的我那个移动那个数据吗什么关掉了现在你们开通了是不是我以前买的这个套餐啊用 噢那我看到那短信他们还后来怎么交易收费还是什么 反正这个用户没有我是按套餐的五百兆的流量对吧 噢那为什么我那个手机为什么会被关掉了 
唉你好唉你好那个是这样的因为我现在给你打过电话说你们发票给我的知道我的就是发票寄到我邮箱嗯但但我现在还没有生效是不是呃我说的邮箱你们用的邮箱地址不太一样 对啊幺六邮箱是 对啊 我看过了零九 
唉你好麻烦你帮我看下我这个手机号等了有绑定了一个宽带你看一下 唉这个这个宽带可不可以已经 我不能报给你帮我看一下好嘛 噢 
唉你好帮忙看一下国际漫游 原来 啊多少短期的是吧三十天好密码知道吗嗯二十八 嗯嗯工嗯 
唉先生你好我看一下我这个本机号码是开通了港澳漫游还是那个东南亚慢 呃泰国 噢已经开通了对吧 好的谢谢再见 
再见本手机是什么资费的套餐了 呃呃呃多少钱你看行不行 噢八十八分钟是多少 结果结果分钟左右如果不能给我流量 
你好 听得到吗 我想问一下就是那个我的手我用流量我那个就是流量的话它是每两年现在是两g两g的对吧 四楼幺零零三六五八的那个流量查询然后他跟我说那个本地流量两g用完了然后赠送的两g还有 
哎你好我想问一下我这个绑定的这个宽带呃送就是送宽带业务的这个我这个到期是什么时候 对对对啊 呃要到三月底了 不会了而且我看到是八月份还是怎么怎么要到今年年底了 
高兴服务呃你帮我能帮我查一下我现在那个付费发现有没有变化吗 没有变化是吗因为在那个那个那个那个宽带被他们重新弄了一些 就是还是那个代扣的对吧噢好的我知道谢谢啊 嗯没有了 
喂你好小姐我刚才都取消了什么随身wifi对吧十块钱 取消了还不对呀我三十八块飞享套餐那来电显示都是不收费的免费的 啊对啊工我为什么原来五十一块五五十一个月你说刚才说什么三块钱什么的十 对呀我这边 
喂你好你好嗯噢我看一下这个手机号上面呃每个月的月租电费有一个什么集团优惠唉行谢谢啊 
呃那个 呃我这个手机是不是那个国际漫游已经办了 对 噢已经办理了能不能给我发一个微信到国外怎么打的那个电话还是我在网上能查到二八 
哎你好我想问一下有一个手机号就幺三九幺幺幺六六零零八零零它有一个副副号码我可以问一下她的办的套餐吗我觉得有点忘记了 呃就是说它这个是幺三九幺六六零零八零零它这个是一个主号码然后它有一个副号码是幺三八幺八八八六八三吧这个副号码恩 二二二五八五八 啊那个六块的一个什么 
为啥就是 哎你好我想问一下我这是全球通的是吧这手机号 噢然后那个那个梨是什么意思啊 噢我知道我我想问一下什么意思啊就是 
喂你好我想把我的那一个我这我现在我手机好像什么套餐的 麻烦你帮我把这个支付宝给去掉吗 密码不知道的身份证号码我知道的 三六零四二二九六九三个幺五三八四幺恩 
唉小姐我问一下我这个月租费多少钱一个月的 噢一共四十六每个月就是下个月开始每个月就是四十六块钱了是吧对对对唉我问你说就是我买的三十块的那个套套餐那我如果六六百兆的要多少钱呢 噢是这个七百兆要三十块钱六百兆是吧三十块钱五百兆啊三十块五百兆 这个是那个是不是在七百兆噢我知道了好 
唉你好我有一个另外一个手机嘛能帮我看一下 呃幺八七二幺幺六九幺六五 呃知道的 噢长期有效一直开通的对吧 
唉你好我问一下我的那个手机现在的付付费的一些套餐有哪些包含哎 噢那我我我好像前几天加订了一个什么呃什么安心包还是什么乱七八糟的包 噢那我现在这个也还在对吗 呃嗯那我能不能更换一下套餐 
哎你好我想问一下我这个套餐好像到期了 对我现在有什么核实元套餐了 我现在通话也少了流量也少了 到我的账单呢 
你好我想问一下我这个套餐是五十八的吧 腾讯会员什么时候使用呢 呃每个月都扣啊 唉他什么时候订的它不用完这个手机啊恩 
唉你好就是我有个共享流量我取消了你帮我查一下 的 噢你在手机要取消也也可以的 然后有一个什么咕咕什么什么流量这个是性的是什么意思 
你好现在我这个月不是有开个新的套餐吗 对啊那个流量是套餐内两个g对不对 那我问一下我上个月的流量存下来的流量哪里去了 你什么时候告诉我呀 
哎你好我想问一下我这个月的套餐情况 怎么一毛九一分钟 我想可以吗 你帮我查询一下吧 
唉喂你好呃我问一下我这边的话现在这个手机是订的是哪个套餐 过这个里面包含的是一g的流量和那个四百五十分钟的那个就是国内通话对吗 噢那那个现在因为我这边的话就是一直有提就是有短信提示呃有一个好像是几十块钱两g的一个流量再加上反正五十八块钱是一个那个三百分钟的一个国内经常会 这个的话我就是也是一百二十八的套餐我这个能换吗 
你好呃我这边这边不是有个群组嘛对吧 啊我现在想把那个群组去掉可以吗 帮我把那个代码发给我一下吧 啊没有了谢谢 
我什么套餐呀都可以呀两百六十八的 本月最后一天这还是最后一个月吗 这个月它的套餐吗 你帮我看一下套餐我下个月换一下吧 
哎没有我这边想问一下我我这个这个月不是我重新换套餐了吗好天开始之前那个就是彩铃业务啊什么的都帮我那个改改那个了给取消了 他那个彩铃我想开通啊就是反正您要开的话可以帮您开 我现在好像是 我这个套餐里边包括不包括怎么 
唉你好我想问一下我上个月捆绑那个号码我报给你帮我查一下看看承保没有捆绑嗯幺五二二 对 幺三七幺二四八 密码我有 
唉你好有什么可以帮您噢我刚刚手机不小心订了一个什么业务你帮我查询一下然后帮我取消掉 十块钱早上不是不是这个那我这边帮您取消一下您的服务密码知道吗六位数的密码就这样 你好好的你好 啊没有了谢谢 
对您好请问 我的手机那个套餐是什么套餐呢 那个五十元他那个说的套餐上 那个为什么我我充话费怎么充一百就没一百的充三十都没在是从五十里面五十呢这这我这为什么晚上您今天因为是一号扣月租了今天是因为扣月租时间 
喂你好你帮我看一下我这个流量套餐是不是没有啊这个月是不是没有订啊 那我就目前我这个套餐 那怎么没有信息噢好的好的知道了嗯 
那帮我看一下我有没有开通那个国际漫游 打开 知道 泰国 
喂请问一下我刚刚呃这个手机接到一条短信它说订购那个十块钱什么业务你帮我查一下这个没有订购吗 
喂你好我我想八是主主叫电话只有国内的只有五十分钟啊我一个月 帮您对套餐里面 办理的不是一百三十八的套餐吗 噢那好吧那我知道了 
啊 你好我想咨询一下我的套餐已经到期了吗 还没有到期下个月一号我就是我这个是套餐不是已经到期了吗 还有几个月应该十二月一号就是这个要一百五十八的套餐是吧 
呃您好是这样的请帮我查一下就是有一个短信的一个端口是不是被我给封掉了然后这个一个验证码我一直收不到 这个我们那我这边如果想恢复的话要怎么恢复呢 有的有的有的 嗯四个零 
你好就是我这个手机好像刚刚幺零零八六吧就是给我说套餐没了 啊是这样子啊 那那我这个套餐现在现在这个套餐是什么套餐呢 是的 
哎你好我想问一下我这个套餐是三十八元的套餐我有什么什么业务昨天办的卡为什么什么时间扣了二十四块钱的呀 噢他那个我看上面显示一个前三天账户的那个流量是三g的那个 
呃我唉你好就是噢我有没有什么套餐你这边能帮我查那种噢因为我这两天我读完那个装手机游戏那我突然发现手机欠费了然后这边你这边能查那个什么是那个游戏啊那种套餐有啊有的话我 这个帮我 本机密码不知道 噢可以 
哎你好我想问一下我现在这个套餐的话有什么套餐 能不能把流量加大 还是一一年意思也就是说我现在加十块钱的话就是每个月会多一点三个g的流量啊 他是在套餐上面叠加上去呢还是什么对 
哎你好我想请问一下我就是去年有一个那个集团业务今年他们就是新办的那个微网我也不知道这是有没有办理成功你能帮我看一下吗 就是呃好吧我也不知道他当时办的时候就是是微网 啊没有那个加入那个微网那个活动吗 短号是什么意思 
您好很高兴服务唉你好我刚刚有几那个小号啊有看到吗什么小号是集团小号吗还有和多号就是我也不知道 怎么有个副号码 办理过和多号副号 好 
喂你好你能帮我查一下我现在的那个套餐是多少的套餐吗流量那种套餐是多少的套餐吗七十四g飞享八元档的套餐还有二十块钱的流量包你再重新说一遍我没听清楚 嗯就是我现在的流量就那个就是因为我现在能不能我现在能不能改那个五十八元呃五十八的那种套餐啊 送话费营业厅都都没有了那个八块钱的月租有没有了 如果我就是今 
唉你好我问一下我把这手机有来电提醒功能现在好像没有了吗 提醒对吧对 这个我本来有的它不收费的 噢这样的 
喂请问一下 你好我想问我申请这个彩铃还要多长时间了那就是呃失效了 噢他他过来短信的 啊打幺二五三零二 
你好呃我我这个手机卡号刚买的呃我那天才能买那个手机他说我这个下个月有四g的流量我这个下个月是有四g我看发短信唉我这个手机下个月还有异地嘛 下个月有三个g是吧 他说有四个g的吗 没有搞知道了 
您好你能帮我查一下我现在每个月包月的套餐里面都有些什么我就订了些什么套餐吗 噢我之前就是有一个四十块的一个四十块钱就退掉了先生刚才退掉的对吧 噢好的刚才唉你好我想问一下就是它前面有工作人员打电话给我说什么有个什么送宽带的 宽带没装他给我约是星期六我跟他说我回家跟家人商量一下然后他说他先帮我预约这个信息了然后到时候他们给我打电话但是如果就是我不想要的话可以让他不要 
呃我想问一下我现在这个手机号码有哪些套餐 就这两个对吧 宽带是多少钱的 的呃到什么时候结束的一零八噢我看一下 
你好嗯你帮我看一下我这里是不是有一个我们公司的一个小号 对对对 噢好的 请您稍后对我我就想把那个业务的那个就取消了 
没有我咨询一下我今天好像买了两次话费两个流量费对不对登录我看到我账单还是一百六十块钱是怎么回事啊 啊对啊我就看我是一百零几套餐对不对 一二八的我知道啊我就你帮我查一下我觉得我上午买两g流量费一次是十九块是通过小米密码的 后来我看到一个短信说我已经 
唉你好我那个查一下就是说我我这个手机我不还有之前办了一个那个叫他是在业务 啊你帮我确认一下那个那个现在去预约这么已经已经正常了吧钱已经扣掉了吧 够了呀我不知道我看一下啊我看一下稍等 就用两天吗把一年的费用都扣掉了是吗 
唉你好我刚才那个订了一个三十块钱流量包肯定够了是是下个月生效你看是吧 这个可以取消吗因为我刚刚用了一个十块钱的一点儿好像是重复的这个 那你把它关掉了 呃密码不知道 
唉你好我你帮我查一下我有没有开通那个就是当时我就申请了移动宽带 就是八块钱一个月就是怎么会 
我这个手机号码好像有一个宽带对吧 是不是是不是停掉了 装在哪里装在哪里你知道哇你这款查是吧 看一下 
你帮我看下我这个一百三十八套餐还有吗 还有多少还有多长时间呢 喂我说我现在我现在的套餐还我现在这个电话里面有一个套餐吗 我没到期啊 
唉你好唉我想问一下我这个流量它有那个视频视频流量是对吧 不对啊我那我我手机里面他报给我里边有三个g多的流量 我我就想问一下就是查移动这个我查到我里边就是我打那个电话吗呃幺保留我查我话费它里面说我有三个g多的视频流量就是我现在这个四g流量它说了我还是不能用的是吧必须要在下载一个东西 噢这个意思我想当时已经有这个流量我就我也不知道也没说过套餐我现在现在已经超了 
唉你帮我看下我手机什么套餐 啊七十八里面是吧 就一个g换成两个g吗 对 
哎你好我想问一下我这个套餐是什么时候开始吧 噢一月十月一号开始应该到九月底结束的呀 十一月一号 噢好的好的 
