你好请讲其他 喂您好 先生嗯请讲 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 
您好很高兴为您服务 唉你好我问一下我把这手机有来电提醒功能现在好像没有了吗 就是那个关机占线不在服务区会收到短信那个 提醒对吧对 
很高兴为您服务 喂请问一下 您好请说 你好我想问我申请这个彩铃还要多长时间了那就是呃失效了 
您好很高兴为您服务 你好呃我我这个手机卡号刚买的呃我那天才能买那个手机他说我这个下个月有四g的流量我这个下个月是有四g我看发短信唉我这个手机下个月还有异地嘛 您套餐现在改的是一百一十八的现在开始您有三个g的流量五十分钟通话的超出打电话一毛九一分钟噢好的 下个月有三个g是吧 
您好很高兴服务 您好你能帮我查一下我现在每个月包月的套餐里面都有些什么我就订了些什么套餐吗 那套餐只有一个一百五十八套餐除此之外有一个互打免费的群组然后的话其他收费业务下个月是没有的 噢我之前就是有一个四十块的一个四十块钱就退掉了先生刚才退掉的对吧 
您好很高兴为您服务 呃我想问一下我现在这个手机号码有哪些套餐 您现在就是一个亲情十六的套餐再加上一百块钱三个g的流量包 就这两个对吧 
您好很高兴为您服务 你好嗯你帮我看一下我这里是不是有一个我们公司的一个小号 嗯那个集团业务是吧 对对对 
您好很高兴服务 没有我咨询一下我今天好像买了两次话费两个流量费对不对登录我看到我账单还是一百六十块钱是怎么回事啊 套餐对吧 啊对啊我就看我是一百零几套餐对不对 
为您服务 唉你好我那个查一下就是说我我这个手机我不还有之前办了一个那个叫他是在业务 对是的 啊你帮我确认一下那个那个现在去预约这么已经已经正常了吧钱已经扣掉了吧 
您好很高兴为您服务 唉你好我刚才那个订了一个三十块钱流量包肯定够了是是下个月生效你看是吧 帮我查一下五佰兆啊对下个月生效的 这个可以取消吗因为我刚刚用了一个十块钱的一点儿好像是重复的这个 
您好很高兴为您服务 唉你好我你帮我查一下我有没有开通那个就是当时我就申请了移动宽带 现在不是不是 就是八块钱一个月就是怎么会 
您好很高兴为您服务 我这个手机号码好像有一个宽带对吧 嗯有是的 是不是是不是停掉了 
您好很高兴为您服务 你帮我看下我这个一百三十八套餐还有吗 邮箱您现在是一百三十八五百分钟一g流量啊 还有多少还有多长时间呢 
您好很高兴服务 唉你好唉我想问一下我这个流量它有那个视频视频流量是对吧 四g流量对吧他要下载一个咪咕客户端咪咕视频客户端在这个客户端里面使用的一个流量是免费送的三个g 不对啊我那我我手机里面他报给我里边有三个g多的流量 
您好很高兴为您服务 唉你帮我看下我手机什么套餐 现在是自选套餐七十八块的是那个一百分钟和一g流量另外还有个三块钱来电提醒 啊七十八里面是吧 
您好很高兴服务 哎你好我想问一下我这个套餐是什么时候开始吧 套餐活动对吧您说的不用是一六年十一月一号开始的到一七年十月底结束 噢一月十月一号开始应该到九月底结束的呀 
您好很高兴为您服务 喂 请稍等一下 你好唉喂那个就是咨询一下我是两年就是两百兆那个一千四百八的宽带吗 
您好很高兴为您服务 喂你好就你帮我看一下我开了一个g的流量下个月嗯是不是取消了 那我帮您看一下请稍等 嗯嗯好 
您好很高兴为您服务 唉你好呃麻烦你我想问一下我这个手机是七十八元套餐对吧 对 然后它是有两g流量然后说两g流量用完以后再送两g了 
一个严重一点五天的一个内容 看一下 那个我确认一下我刚刚办的那个套餐里面有一个流量分享包是不是分享了三个号码 因为我这边的话帮您看了一下你们的流量共享包功能的话已经办理好了下个月一号生效您这边的话共享给两个号码 
您好兴为您服务您好 哎你好我想咨询一下那个我这个手机有没有开通漫游国际漫游 我现在目前没有开 嗯 
您好兴为您服务您好 喂你好 您好请说 那你帮我查一下我这个卡都有什么业务呀 
您好很高兴为您服务 你好我想问一下我这边不是现在有个手机里面的家庭宽带吗 嗯对 然后我想问一下我这边取消可以取消掉吗 
您好很高兴为您服务 哎你好我要开通下国际漫游想确认一下有没有开通 嗯嗯好的我看一下本机号码对吧关于之前开过一次开三十天的 这个到十月二十二号零点结束就泰国什么不用再开了对吧不用再开 
您好很高兴为您服务 唉你好我我晚上那个睡觉的可能这个这个手机按照的那个 呃四g的乱七八糟的那种那种那种那个消费的有吧上面这边显示有开通一个幺二五八零生活播报这项业务其他倒没别的 啊你帮我帮我是有一个天气预报给我留着还有其他的全部给我关掉好吧 
您好兴服务 哎你好我想问一下我这个手机套餐是多少套餐 刚刚是一百三十八元飞享套餐再加一个五十块钱一个g流量包 五十块钱一个g流量包这么多那你能帮我改一下吗 
好的您好很高兴为您服务 你好我问一下那个我这个呃现在再给我你给我发信息幺零零八六给我发信息说是说送这个流量呃这个 它是不是要 开通什么 
您好很高兴为您服务 你好小姐我想请问一下我现在这个手机啊怎么四g没有了吗 嗯我看一下啊 噢好的 
先生您好很高兴服务 喂你好我刚刚在营业厅办完了业务但我有个地方不太看不到了他那个所以帮我查一下他那边写的那个开通的音乐特级会员没有 然后 他是直接收费了吗 
很高兴服务 唉喂你好 您好请讲 啊我想问一下我现在这个手机是那多少套餐的 
您好很高兴为您服务您好 唉你好 喂您好 呃帮我加两百四行 
您好很高兴为您服务 喂你好 请说 唉我手机上面现在有什么业务吗 
您好兴为您服务您好 哎你好哎先生我现在是什么套餐 帮您看一下呃目前的话是一百五十八元套餐然后下个月换了一个八十八元套餐 二我感觉那个很那个流量能不能加二十块钱的流量 
您好很高兴为您服务 你好我查一下我这个手机的套餐 好的您的套餐是一个十八块钱四g飞享套餐一百兆流量国内主叫一毛九一分钟全国接听免费的 国内主叫一毛九就是我打外地也是一毛九吗 
您好很高兴为您服务 唉你好 啊您说 想问一下我现在定了一个九块钱那个流量嘛三g流量 
很高兴为您服务 喂你好我想让你帮我帮我看一下我这个套餐是两零 套餐两百一十八的有一g流量然后一千分钟通话时间 噢我刚刚也话费多少钱 
您好请讲谢谢哎我想问一下我这个月的就是套餐是什么套餐八十八套餐两个g流量五十分钟通话五十分钟通话是吧对没有了没没有了对啊一个g两个g流量两个g是吧嗯嗯 嗯嗯 嗯嗯别别的没有那我那个上面好像应该有赠送的是吧对送的还是会送的就每个月还是还是送的是吧对是的行 噢啊行 
您好兴为您服务您好 喂你好那麻烦你帮我查一下幺八二幺七四六 幺七四六 七五二零账号就现在办的是什么样的套餐啊 
您好很高兴为您服务 唉你好你们现在帮我查一下我这个手机的套餐吗或者是你能 查到下个月我的套餐是什么吗因为我好像改了套餐这个月是十六块畅听卡下个月您改的是五十八的一百分通话五百兆流量的超出打电话呢一毛九一分钟 全国是不是呃等一下你说我刚就是我下个月是五十八的对吧 
您好很高兴为您服务 唉你好我想看一下我当时办的那个手机号码是也是什么套餐 号码报一下 幺五二零幺九九九零幺九噢零幺九九六六零六 
您好很高兴为您服务 喂你好我想问一下我这个本地是现在用的什么套餐 嗯目前您是自选套餐是那个一百分钟通话和三百兆流量这个月下个月改为一百分钟和五百兆流量就从七月一号才显示五十八块一个月 我知道费用还有没有别的套餐 
噢您好很高兴为您服务请说嗯嗯 就是我刚刚接到一个电话我不是选择一个幺五八的套餐是吧 嗯对 他说电话打过来说可以返还一个什么二十三块钱话费对吧 
啊 幺您好很高兴为您服务谢谢吗 喂你好你帮我开一下我这个多少钱的套餐 套餐目前我看一下一百五十八的套餐 
您好很高兴服务 呃我你帮我查一下昨天我好像在那个我g的那个中国移动里面呃选择了一个就是港澳还呃五天的包流量的一百零八块好像然后呢我是这个一百一号我收到到那边不够用我想选择那个一百二十八的 我能不能 选那个一百二十八的 
您好很高兴为您服务 喂我不是上个月搞的那个宽带延续吗嗯嗯 宽带连续是吧 叫我这个月它在网络一点都没有我根本一点都上不上去 
您好很高兴为您服务 噢喂就是想查一下这个号码是开通那个国际漫游吗 我跟你说出国内的是吧宽带您国际漫游是开着的之前是在嗯之前是在十一月三十s今天刚开的 今天刚开的就是一个开过吧 
您好很高兴为您服务 你帮我看下我这个手机号捆绑的那个宽带就到七月几号到期啊 是这个本机来电的号码对吧现在绑定的我看一下啊您稍等啊宝山区这个宽带线我查了一下协议是到今年二零一七年十一月一号到期 十一月一号对吧 
您好很高兴为您服务 哎你好我想问一下我现在这个手机是什么套餐 额您现在手机用的是两百三十八元呃两百三十八元飞享套餐然后上个月换成下个月换成新的也是两百三十八流量的话是呃通话时间一千分钟不变的流量是给您三个g流量然后到明年六月底可以再加送您三个g国内流量一个月六个g 到明天是六月份才可以查到了还是现在就从下个月开始 
您好很高兴为您服务 喂你好我想问一下这个号码开通了什么业务的 您这个的话就一个小模卡然后有一个赠送的和留言彩铃和和彩印就下月帮您取消吗 它每个月扣扣多少钱呀 
您好很高兴为您服务哎你好我想问一下我下个月套餐是多少什么 下个月套餐我看了一下有过调整过了我看一下 噢对但是给我发个信息然后说的是还是之前的套餐没有变更呀 没有没有之前是一百二十八加了一个五十块所以本来应该是一百七十八块下个月改七十八改成一百五十八块但是分钟通话在五个g流量活动再送五个g流量 
您好很高兴为您服务 哎你好我想问一下就是我现在这个手机是什么套餐啊因为我现在因为我之前人都不在上海没有使用现在我要使用我想包一个套餐 啊您现在的话八块钱的月租国内主叫是一毛九一分钟的全国接听免费 而且就是呃打电话是一毛钱一分钟 
您好很高兴为您服务 还有十天不到账单时间如果想我想那个想增加什么意思呢就是我五十八块一样的套餐就是全不变的情况下又有流量给我增加吧或者变成七十八了我说不要这个不要 恩 现在帮我取消了吧就我就想确认一下 
怎么 您好很高兴为您服务 出来啊喂你好唉喂你好哎你好我想问一下我那个我这个手机号码的这个套餐是多少 啊套餐您这个月用的是一百二十八加上一百块流量是两百二十八的然后下个月您换了我们换成我们一百五十八的全球通新版的那个飞享套餐自选套餐通话时间那就呃通话时间五百分钟流量是给您三个g国内流量然后从下个月开始还有个活动到明年六月底每个月再多送您三个一个月六个 
你好您好很高兴为您服务你好工号幺零三幺三 我的后台 噢好的以后您要查询和办业务的话可以关注我们中国移动幺零零八六微信号帮您转后台的那个专席流量费还有其他方面的话费生效关关键问题我将您电话转接专席处理请稍等 哎 您好很高兴为您服务 喂你好我想问一下我这个套餐有什么套餐呀 现在是三十八元的四g飞享套餐就是五十分钟通话和三百兆流量的 能不能换呀换个这是全球全球通话恩 
节日好很高兴为您服务 唉你好我问一下我现在这个手机啊呃现在这个有没有有有没有这个漫游的 那我帮您看一下您是说国际漫游吗 啊 
您好很高兴为您服务您好 你好唉你好我问一下我这您现在的套餐是是多少了 套餐是一个五十八元套餐然后后面又加过一个二十元流量包加载那个二十元流量包如果需要可以帮您关闭一下 噢那你那个帮我那个关掉吧 
很高兴为您服务 唉小姐你能不能帮我查一下我有一个看不到我上面那个副号码幺五九零零九五二五幺是不是开通那个国际漫游啊 我看一下啊稍等一下幺五九零零九对吧五二五二幺 对对对 
为您服务唉你好呃我想咨询一下我现在用的套餐是不是嗯下个月是升级的 上个月的话就是这个要申请一下的您要回复那个短信申请才有的不申请的话它就不享受那个活动呢 那那没人发短信给我呀 那个收短信是吧 
您好兴为您服务您好嗯 喂你好哎我想问一下我这个手机这个好像那个流量那个关掉了是吧 上网功能被关掉了 现在可以把他打开了 
您好很高兴服务 哎你好我想我想问一下处理我的那个那个发票啊就是每个月都开发过来吗看到幺三九 唉对 我给我打了电话才能开一次吗 
啊您好很高兴为您服务喂你好我想问一下我这个手机号办理的宽带嗯那个到什么时候到期啊我记得好像是八月份 您本身是到这个月底到期的不过您这个宽带是自动续约后面游戏里面了 它有限制一年给您要续约的吗还是不行嗯不是的因为我这个账号要改掉 如果不需要的话呢那您就直接在这个月底之前带好身份证设备去那个宝山区的营业厅办理一下注销就好了 
很高兴为您服务 哎你好我想就看一下我本机来电就是他好像是四g服务是不是被关闭了 呃对我知道了呃您上网功能是被关闭的要打开吗 帮我打开行吗 
您好很高兴为您服务 你好我想请问一下我这个幺五八二幺三二八八五三 嗯请问什么问题三五八五二幺 幺五八二幺三二 
喂你好 您好 呃我想问一下我这个套餐不是七十八元的吗 套餐目前是七十八元的那个功能 
您好很高兴为您服务 你好我想问一下我这个套餐是什么呀 套餐嗯套餐部分现在是十六块钱神州行畅听卡然后一个二十块钱三百兆流量还有一个一元钱的ip长途优惠包一共是三十七块 他的长途优惠包现在已经取消了我想问一下就是有什么套餐就是通话加流量的 
您好很高兴为您服务喂我问一下我这是现在是五十八套餐的吧 对 我现在改改下信息能改多少套餐 改什么改低的是吧 
您好很高兴为您服务 你帮我看一下本机号码现在 订哪个套餐好您稍等您这号码现在是订的是一个自选套餐总共是六十八的然后一百兆流量刚才通通话他是打电话一毛九一分钟然后全国接听免费的然后有一个优酷的视频流量包其他就没有了就这么多 嗯用户的这个视频流量包的话嗯嗯这个 
您好很高兴为您服务你帮我看一下我的漫游开通了了幺三七零幺六七八幺二七昨天我打电话过来的幺三七零后面多少幺幺六七嗯八幺二七三幺二七 请问下这个号码的密码知道吗我知道 好的那请输一下密码没问题是属于先生密码验证件嗯通过这边看了一下国际漫游有超过三十天的 那为什么那边是没信号呢我就是打过去 
您好很高兴为您服务 喂你好麻烦问这个我的套餐里面有十块的一百兆的那个月租 对有个十块钱一百兆流量 嗯下个月开始不用了 
您好很高兴为您服务 唉小姐你好我想开通过那个境外的那个那个叫什么就是我到底过去过说开通过那个你看看帮我看看我关了没有 恩好的嗯没有关您开的是长期有效的不用管的 那你帮我关掉好了 
您好很高兴为您服务 喂你好小姐我我我一个手机刚刚办了一个十八块十八元的套餐对吧 姓名您手机号码麻烦报一下幺三七恩 六幺六一九零四六五 
您好很高兴为您服务 唉你好你帮我查查这个号码关没关掉流量包 本机号码看一下上网功能呃上网功能是关闭的状态上网功能关闭的 因为它为什么它一个月还有其他能去掉钱 
您好很高兴服务你好你帮我看一下我上个月在你们那个新华路营业厅办了一个就是这个月新的一个套餐业务从今天生效了吗 套餐对吧套餐的话七十八已经生效了呀办好了 它是每个月五号返多少呢 每月五号返还给您话费 
为您服务 唉你好那个就是我看到我我这边呃什么申请成功了一个叫什么宽带呀 嗯嗯对是的 然后那个我想把它取消掉 
啊好好 您好很高兴为您服务 嗯你好我想问一下我现在这个套餐的情况是什么样的套餐 套餐的话是每个月固定的一个月租费是五十八元五十八元然后的话我看一下啊五十八元的话您是四十八元档次的一个语音包就是有两百二十分钟数嗯然后的话是一百兆流量 
您好很高兴为您服务 喂你好我看看有短信说我那个有一个套餐账单七月一号到期了是吧 嗯宽带到期了您现在是要续约的吗还是 就显示现在嗯还有什么套餐啊就是便宜了或者怎么样 
您好很高兴为您服务 噢帮我帮我看一下我现在使用的套餐是多少的 九十八的一百分钟通话两个g的全国都通用流量 两个g了我可以说我的工输入多一点 
您好很高兴为您服务 三喂你好我想查个号码我报一下幺三六六 幺三六六幺九九五六 幺六三 
您好很高兴为您服务 唉喂你好 你好 噢噢就是请问一下我这个套餐不是流量套餐不是取消改成了十元的为什么我现在还是二十元的 
您好很高兴为您服务 你好是这样子我现在手机使用都是在外地他那个每个月的那个流量不够你帮我查一下我现在是什么套餐都忘记 好的您现在是一个套餐是一个九十八的一g的流量两百二十分钟通话的超出打电话一毛九一分钟全国接听免费 呃他是两百 
您好很高兴为您服务 我现在这个手机我现在这个手机不是有个宽带绑定的吗恩对呃呃我今天反正月底之前这两天我就退掉可以可以的啊 呃这个宽带问题这边要帮您转宽带专席咨询请您稍等不要挂啊 噢噢噢等一下嗯您说您说我这个手机上现在绑定的是什么业务有多少钱的业务是那个八十八的四g飞享套餐 
您好很高兴为您服务你好 嗯您请说 嗯我想问一下我这个月用的是块钱的套餐呢恩对三百分钟通话时长七百兆的流量吗因为嗯嗯想改回来因为我前两天说升级让我想改回来还是恢复原来的八十八的这个两百二十分钟七百兆流量的是吧不是三百分钟吗没有三百分钟是因为您另外有活动送了您的五八十分钟这活动到这个月就结束了它是这个活动搞到一七年六月份的这个月本身就最后一个月了所以您从下个月开始对您就两百二十分钟七百兆流量的 噢 
您好很高兴为您服务 你好我这边就正常收到你们幺零零八六短信让我建议我申请的套餐到九十八元是九十八元的一个什么语音套餐里面包含五十元的流量和四十块钱的语音是有这种套餐的是吧 呃有您要么说是那个嗯九十八块钱套餐两百二十分钟通话流量两个g流量然后再额外赠送给您两个g流量赠送到二零一八年六月底结束 对的是这个但是我现在想咨询一下的时候我目前这个业务他好像通过了一个返话费的活动如果涉及到九十八元之后它这个您想这个返话费本身的这种这个优惠活动吗 
喂 您好很高兴服务 唉帮我查一下我这个手机号码下个月的套餐是多少 下月套餐对吧现在套餐的话您就是八十八一个月三百分钟通话五百兆流量八十八 
很高兴为您服务 唉你好那就是我去年办的宽带业务啊嗯嗯宽带那个就是通过您东方有线那个用宽带这个业务怎么消费前两天接到电话说我要这个要到期了我查了一下大概我能用到十一月你能把那个 这个手机号码办的宽带吗是这样的 对是的 
好嘞您好兴为您服务喂你好 知道 请问一下我这上面现在怎么有一个什么业务之类的他叫我一个什么交九十六块钱什么意思啊噢按照 显示套餐只有六十八块钱呢下个月六十八元套餐加一个三元来电提醒您是什么短信通知您呢下个月扣除四十多块钱吗 
您好很高兴为您服务 唉你好我那个我想问一下那个我那个套餐从这个月开始这个更改为就是国内三个g是不是啊 嗯对是的改了他现在那个短信发送过来说还有赠送三个g的国内流量什么意思啊我到现在没看懂它那个活动送的就出来三个g另外再免费送您三个g咱们的营业厅不是你你说你说慢一点 他说现在每个月的三个g的国内流量 
您好很高兴服务我想知道我这个手机套餐是多少的 套餐对吗对套餐您目前使用的是一个一百零八块一个月送您三百分钟通话一个g的流量一百零八的固定月租费就是另外您有一个十块钱的流量包还有个三块钱的新闻早晚报手机阅读上海手机报现在这个业务 这个套餐是从这个月开始的吗 对本月开始噢上个月呃五月一号开始的啊五月一号开始的 
您好很高兴为您服务 另 你好 我想问一下我现在这个手机有没有有一个宽带业务是吧 
您好很高兴为您服务 唉你好我这边手机说一遍壮士挂远征电话移动升级唉有有这个活动呢请问一下我这个套餐不好意思先生您能把您的免提关掉吗其他流量 噢你说先生 说我刚才他那个推送所以我换了一下下个月套餐你看是是下个月生效了就是三 
您好很高兴为您服务 喂你好 你好 我我是本机的机主然后我现在我办的套餐是集团号好像是集团套餐是吧 
好很高兴为您服务 喂你好你可以帮我查一下那个我手机的联网状态吗因为我我要苹果手机然后他就是说现在网连不上 呃是家庭宽带吗 不是是有的就手机然后我手机先换吗因为那边拿座机打下 
高兴您服务 唉喂你好 请讲 那个我想问一下我这个查询套餐就是说 
您好兴为您服务 唉你给我看一下我这个现在套餐是五十九元啊 套餐我看一下稍等 六个九月二十六十九元 
您好很高兴为您服务 唉我想请问一下我这个手机号码嗯现在是参加什么套餐的 十八元的飞享套餐一百兆流量打电话一毛九全国多少 话费 
您好很高兴为您服务 我昨天让我给我可以啊流量给我发那个二月份的电子发票但是你们给我发了两次都是三月份的 二月份的稍等我看一下啊幺八六我还哦对二四六六十八块我哎嗯好的 两月份 
您好很高兴为您服务唉唉你好你好先生唉我我那有一个套餐幺五八的那么我想问一下我我这个流量对吧我有个副机嘛我绑在这个复机上你给我查能查得到吗是是这回事吧 特殊复号码 唉我我我啊流量跟那个复机我绑定两三 这这个月的 
您好很高兴为您服务 唉你好我呃我想我想请问一下我这个手机号码唉有没有其他套餐之类的 嗯本机号码目前是十八元的那个网聊套餐其他有个三块钱来电提醒总共二十一块钱 嗯还有三块钱的来电提醒提示是吧 
为您服务 唉小姐我刚才也打过来了我想问一下我这个手机有没有呼叫等待的每个月 我帮您查询一下请稍等或者他没看要帮您开通吗 为什么没开 
您好兴为您服务您好 唉你好你看看我现在这个套餐现在还有什么附加功能 目前就一个八十八元套餐没有额外收费业务 那个什么和包有哇浦东 
您好很高兴为您服务 唉你好 你好 我我想问一下我现在这个手机套餐是什么样的 
高兴您服务 唉你好我这个套餐是八块的套餐对吧 对 唉还有其他收费了我这个是号码 
您好很高兴服务 喂你好我那个嗯手机就是开通那个国际漫游漫游到香港我这边好像英国的没有取消是不是 呃很抱歉女士目前的话我们系统在升级维护进不去系统的现在只有声音只能听到声音就是说您麻烦您过两个小时之后再来电做相关的一个查询看你有没有国际漫游或者办理都可以实在抱歉啊 行好嗯 
您好很高兴为您服务 啊喂你好那个我想请问一下就是那个海防新村八号四零二室那个电话呃宽带是什么时候那个停止使用的 是家里的宽带还是公司宽带 家里的宽带 
很高兴为您服务 喂你好我想看一下那个帐号没其他漫游是吧对港澳漫游 好的帮您开通一下密码知道吗 不是现在开通 
您好很高兴为您服务 唉你好 喂你好先生 帮我查一下本机号码呃 
为您服务您好 哎你好我想问一下现在有我现在是五十块钱那个流量套餐对吧 对 哎能不能有没有那个流量多一点的那个套餐 
很高兴为您服务 唉你好你帮我查一下我这个手机有没有在那个有没有代缴那个有线电视的业务啊 您这上面没有办过宽带啊 噢宽带已经帮我注销了是吧 
高兴您服务 呃我呃你好我想问一下那个我这手机的套餐 好的像您这号码是四g自选套餐六十八块钱一个月应该是五十分钟两个g流量都在 呃再帮我看一下另一个手机号能看得到吗 
您好很高兴为您服务 唉你好 嗯 我问一下我之前这个手机号码是绑定了一个宽带的一个业务对吧 
您好很高兴服务 你好我想问一下我这个我这个手机那个有没有办套餐那个就是网那个流量套餐 套餐的话额外流量包没有订购 没有订过呢我但我想订购一下 
为您服务唉你好嗯我想咨询一下因为我上网我是七月二十八号二十八号那个多少办的那个套餐吗一百九十六块九十八块套餐条短信到现在怎么还没他们短信提示吗 什么东西还没短信提示啊也不是我本来一个手机号码你能报幺三六四幺幺三六嗯嗯四幺九 二五三幺七 手机密码知道吗手机密码报报一下身份证号码姓名吧 
您好很高兴为您服务 喂你好我想问您是个人申请我现在有什么流量公司的业务 这个暂时没有都是要付钱出来的 没有吗怎么提醒都没 
您好很高兴为您服务 唉你好的是这样的我想问一下就是 呃我这个手机之前办了一个套餐吗 嗯是 
您好很高兴为您服务 喂你好麻烦你帮我查一下我这个宽带是多少兆的 所以您这边办的是一百兆的 一百兆的是吧 
您好很高兴为您服务 喂你好 对啊我问一下这个卡以前的那个套餐是不是改过改动过了 原来是五块钱的老年卡就现在是八块钱的四飞享套餐是关爱版 
您好兴为您服务您好你好帮我查一下我的套餐套餐按照您目前的话是自选套餐然后您下个月的话流量升级两个g其他没有别的 但是我看到你们那个短信有公司有七个g的呀 不限这个月的话是自己原本套餐里面的流量是小于一个g的一个前提就是那么如果您之前一个上线的话我们他是会有两g送两g额外再给您三个g的咪咕视频流量但如果您看它本身属于在那个一个g的阶段如果您要进行档次如果没有直接提现的话这个是没有的 那那那个短信上面就写的就是四个g的没有说其他怎么上那些视频之类的呀 
好的 您好很高兴为您服务 你好你帮我这个套餐你看一下我现在这个是什么套餐一个月什么费用 您现在这手机套餐的话就是那个一十八块钱月租五百分钟全国通话五百兆流量 
您好很高兴服务 你好你叫我就是查一下我这个有一个就是彩铃功能有没有这种查一下 派人对吧您这边的话彩铃功能是有的 有的你给我换一下那个个性彩铃好了好吧 
您好很高兴为您服务哎你好我想问一下我这个有一个套餐什么时候到期呢 我看一下 恩 五十八的什么套餐您 
您好高兴为您服务您好 唉你好我是用这个手机办理过之前宽带业务嘛你帮我看一下应该是一个两年的那个二十兆的套餐是吧 对是的两年的 哎麻烦我想问一下因为你们这个移动不是办了那个广告吗说什么呃办一百兆宽带很优惠的价格那还需要好像是我看最低上面说是要五十八元套餐才能办因为我这个手机正好是五十八元套餐的嘛对吧 
您好很高兴为您服务 唉你好我问一下哎我这个套餐是送流量限制送到什么时候呀 流量兆流量是这个月最后一个月了 呃是是送一呃一个g流量是吗 
您好很高兴为您服务 喂你好麻烦你查一下是我的我就是它上个月给我打电话说他要给我办成我的动感地带说没有了要办成个这个四g飞享套餐但是我刚才查了一下以后它安是十八元的飞享四g套餐唉哟交十元钱的包月的什么手机显示 不用的这个套餐里面包含的就十八块钱一个月来电显示送的嗯嗯 噢他那上面十十元是您不用管它他是有体现出来这个费用但您实际是套餐里面包含的不收您的噢就是是你们那个啥个就你们移动公司你好 
您好很高兴服务 呃麻烦你帮我看一下我这个手机号有一个业务是什么手机 那种五 手机五块钱的知道 
您好很高兴为您服务 呃那个小姐你好先前有办一个你们那个宽带呃嗯嗯嗯嗯呃就是你这边能不能看得到就是我那个信号到底有没有在用因为他们讲我现在我也搞不来我也搞不太清楚 您来电号是有办过宽带的然后是到六月底结束了不过您到期没有去注销也没有续约他现在是按天收费的一天三块五 对我我我知道我我想因为我记得当时办的你们的这个宽带之后呢像当时因为后来才发现是我们那边的线的问题就是当时因为也不清楚好像我后来又换g那因为为什么再拨给我叠加问题现在我对现在我也不太清楚所以我在想请问您别人能不能呃看得到就是能不能确定就是你好啊我们办办你们这个宽带的这个信号到底有没有再用这个看得出来吗 
您好很高兴为您服务 哎你好你能帮我查一下目前的手机手机号码的套餐 来电手机吗嗯嗯您这手机套餐是七十八块一个月的自选套餐 七十八块是吧然后我想问一下我最后后面是加二十块钱的那个流量两个g的流量的对吧 
啊 您好很高兴为您服务 想问一下我的那个手机的套餐什么情况啊 喂女士不好意思我没有理解您的意思什么什么情况你我现在手机号码用的是什么套餐啊六十八块钱的套餐五十分钟通话一个g的全国流量 
您好很高兴五 嗯小姐你好是这样子刚刚就是我想咨询一下有一个手机号是幺三六五幺零五六五这个手机号它是办理了一个一年的全国移动的那个宽带二零现在是一千两百块钱你能帮他查到有这样一个信息吗 名字身份证您报一下 我的身份证 
您好很高兴服务您好很高兴服务嗯嗯 噢是这样子的想查询一下我的套餐然后想更换一下套餐 可以的您现在是一百五十八的商旅套餐加三块钱来电提醒那您的需求是什么呢先生现在 噢我想要套餐就是对吧流量多一点然后打电话不需要那么多 
您好很高兴为您服务喂你好明年是这样子的哎我这个就是我这个本机啊我问一下这个我是一百二十八的套餐一百二十九的套餐看看什么时间到期你给我查一下 嗯嗯您这个是一个签约活动一百二十八的那个签约活动是签约二十四个月到二零一八年一月一号到期啊到二零一八年一月一号到期 噢噢二零幺二幺到二零一八年的嗯对的一月到期啊对噢好好好谢谢你我要了解一下我现在已经忘记了恩好的不客二零一八年一一月是吧嗯对 那感谢来电再见 
您好很高兴为您服务 嗯你帮我看一下我的集团小号也没有退掉 嗯我看一下没有退掉还在的 你帮我退掉吧 
您好很高兴为您服务 喂你好我想问一下呃我的手机一下不是还还是时间嗯四g套餐吗 嗯您要办理什么呢 我想问一下我的手机哎能不能我上面发过来吧上个月之后呢 
您好很高兴为您服务 哎我想问一下我现在这个手机的那个业务就是有什么套餐的 本机号码对吧 对的 
很高兴为您服务 哎请问一下我这个手机现在是八块钱的套餐吗 对是的 是的啊那么我改成十八块的可以吗 
您好很高兴为您服务 你好瘫痪了宽带是不是到期没有我查一下 呃是移动宽带是吗 对的 
您好很高兴为您服务 唉你好嗯嗯您好请说昨天开通那个流量那个业务有没有啊 什么时候开通流量的 昨天晚上 
您好很高兴为您服务 喂你好 唉你好 嗯帮我查一下我这个现在有哪些套餐 
您好很高兴服务 喂你好你好哎麻烦帮我查一下我这个手机上有哪些业务了 业务的话就十八块钱月租还有一个三块钱的新闻档案包一块钱的双色球开始发一条短信 啊其他没有啦 
您好很高兴为您服务 现在我刚刚收到你们一个短信啊说我点播的什么东西费二十块钱啊现在 点播的什么我看一下啊嗯看到您刚才有点播了三个总共三个三个业务呢都是一些视频的业务 然后面讲啊我年龄大了我搞不懂这个可能是点错了你能不能给我取消掉 
您好很高兴为您服务 呃你帮我看下我这个号码有没有办理过宽带的 号码是多少 呃幺三六 
很高兴为您服务 唉我这个手机这个应该是流量是零八八 呃这个月的您现在本月是没有流量的 啊已经关闭的是吧对对 
您好很高兴服务 啊 您好很高兴服务 你好好嘞 
服务 密码挺好本机来电帮我查一下本机什么套餐 四十八块钱的套餐再加十块钱的流量多终端共享包其他的话都是没有了就是八月租流量多少五百兆流量五十分钟通话 呃总共就是五十八对吧 
您好很高兴为您服务 唉你好查询一个号码有没有开通国际漫游号码 报一下 幺三九 
您好很高兴为您服务 唉你好你麻烦你能不能帮我查一下我这个手机流量还有那种 手机流量哪个手机号码本机 就是本机号码 
